logFC	P.Value	tf	DMSO	SP1	p_adjusted	sig
0.303426524569675	0.105676408222933	STAT1::STAT2	-2.33014241423349	-2.02671588966381	0.596477156396821	NS
0.236375595269748	0.121901462149408	SOX2	0.884638851607942	1.12101444687769	0.627962215333062	NS
-0.328053534182548	0.126566027896586	SMAD2::SMAD3::SMAD4	-1.55209266566966	-1.88014619985221	0.627962215333062	NS
0.33603911176636	0.149772326301233	WT1	-1.46900764067202	-1.13296852890566	0.698590290175993	NS
0.26206265997972	0.186427064223099	HIF1A	-0.931022738518145	-0.668960078538425	0.742723434559868	NS
-0.356151168955778	0.192957321628953	IRX3	-0.332010943453518	-0.688162112409296	0.742723434559868	NS
-0.336503992217501	0.214992051567244	TP53	2.5478150528493	2.2113110606318	0.742723434559868	NS
-0.157171346745849	0.234493705579637	KLF4	0.126489083027289	-0.0306822637185596	0.742723434559868	NS
-0.326649392472792	0.240721158022221	SOX9	-2.08986445218631	-2.4165138446591	0.742723434559868	NS
-0.254074920532454	0.243043364337188	TFAP2A	-1.95209095546146	-2.20616587599391	0.742723434559868	NS
-0.298454596996438	0.258706981897312	AHR::ARNT	-1.19437261690136	-1.4928272138978	0.742723434559868	NS
-0.35562574164714	0.259089570195303	CEBPB	0.133669650280296	-0.221956091366843	0.742723434559868	NS
0.197827401081826	0.271758608453177	RANDOM2_3_mCMV	-2.52579736152815	-2.32796996044633	0.762105662836083	NS
0.175439644295454	0.284466969969787	MEF2A	0.861530722117164	1.03697036641262	0.780771045236224	NS
0.171816321996529	0.299158095684497	MYC	-0.312762121954372	-0.140945799957843	0.803987382152086	NS
0.187446253654565	0.333202573496798	GATA1	-2.70810332865891	-2.52065707500434	0.859662639621738	NS
0.140324144040603	0.346145600516924	NR4A1	-1.50352794060817	-1.36320379656756	0.864178473743871	NS
0.131512220521188	0.377096482032118	HNF4A	-0.682273880893727	-0.550761660372539	0.917838607210249	NS
-0.140615971162608	0.400869077705698	E2F1	0.894738499103013	0.754122527940404	0.923430554000625	NS
