logFC	P.Value	tf	DMSO	CH	p_adjusted	sig
-0.132439263584176	0.334221226136276	GATA4	1.86009744533475	1.72765818175057	0.801236930285329	NS
0.14239456904099	0.369776385861706	MAF::NFE2	1.92679193480521	2.0691865038462	0.83037504193506	NS
0.146314228482165	0.646413938122993	RANDOM2_3_mCMV	-3.38304571185137	-3.2367314833692	0.908130000950612	NS
0.177717506787707	0.392348963243233	NR5A2	-1.76994944529439	-1.59223193850668	0.843494006530403	NS
0.0988127413515438	0.781491159294094	TFAP2A	-2.4999799890749	-2.40116724772336	0.908130000950612	NS
0.237039086511276	0.740581182488266	NFYA	-0.0861663076073768	0.150872778903899	0.908130000950612	NS
-0.150338173342602	0.407995609079517	XBP1	-1.86833046274482	-2.01866863608742	0.843494006530403	NS
-0.102816459565941	0.570866119424866	RANDOM3_1_mCMV	-1.95114135831406	-2.05395781788	0.908130000950612	NS
0.253499517278203	0.607512829405874	RANDOM3_2_mCMV	-1.59502027519991	-1.34152075792171	0.908130000950612	NS
-0.34295936639021	0.502595322495743	ESR1	-2.85178588176906	-3.19474524815927	0.908130000950612	NS
-0.0808490838075263	0.780517341777847	HNF1A	-0.736326740399978	-0.817175824207504	0.908130000950612	NS
-0.0910657496358526	0.644814047569873	RANDOM1_3_mCMV	-2.77202846837135	-2.86309421800721	0.908130000950612	NS
-0.15981644342284	0.5685645033293	PPARG::RXRA	-3.70237041283755	-3.86218685626039	0.908130000950612	NS
0.0695810593344579	0.761882877662418	GATA1	-2.92563097611211	-2.85604991677766	0.908130000950612	NS
-0.110668103228354	0.815898047729065	THRA	-3.35957275654724	-3.47024085977559	0.908130000950612	NS
-0.169723278169697	0.755100978250331	NR1D1	-4.05625627133227	-4.22597954950196	0.908130000950612	NS
0.00470682280947144	0.975157940290688	CEBPB	-0.0612781952530282	-0.0565713724435568	0.990636637755619	NS
-0.143413457053819	0.576217487074313	AHR::ARNT	-2.18987699219359	-2.33329044924741	0.908130000950612	NS
0.131459316869569	0.795077274003235	RANDOM3_3_mCMV	-1.02936132277949	-0.897902005909918	0.908130000950612	NS
-0.0364207406595562	0.889642401136051	SREBF1	-2.62418263030991	-2.66060337096947	0.948826322066587	NS
0.185738985731612	0.804488966439937	RANDOM2_2_mCMV	-2.34772241767969	-2.16198343194808	0.908130000950612	NS
0.00961550694349668	0.944264744907811	REL	0.539759097609158	0.549374604552655	0.982649490635771	NS
-0.112064095408347	0.588662309287516	MEF2A	0.30150951151242	0.189445416104074	0.908130000950612	NS
0.12688671901271	0.750425522451056	NFATC1	-3.14332170058074	-3.01643498156803	0.908130000950612	NS
0.0755666770051613	0.712396850839012	SRF	-1.43725815163029	-1.36169147462512	0.908130000950612	NS
-0.0619238800436152	0.699552334863641	HNF4A	-1.18090717783345	-1.24283105787707	0.908130000950612	NS
-0.127985139660588	0.585930495720751	EGR1	-2.60717286349218	-2.73515800315277	0.908130000950612	NS
0.0303022256338827	0.896937382578571	NR4A2::RXRA	0.867287824343609	0.897590049977491	0.948826322066587	NS
0.0319124857828344	0.953560501843048	RANDOM1_1_mCMV	-2.25915983059661	-2.22724734481377	0.984320518031533	NS
0.0705978772636923	0.837801059466627	TFCP2L1	1.58285614060375	1.65345401786744	0.924470134583865	NS
0.144702157576039	0.720873413146764	RBPJ	-3.74307429690894	-3.59837213933291	0.908130000950612	NS
0.0168070313054625	0.88370393383848	FOSL1	-1.48375733691224	-1.46695030560678	0.948826322066587	NS
0.0300112008016861	0.846274829672741	NR4A1	-1.83670673048263	-1.80669552968094	0.925839129898384	NS
-0.51304612973679	0.154335194216304	RANDOM2_1_Random	-1.26295504993362	-1.77600117967041	0.533916347559106	NS
0.240423971587735	0.327871892510445	RANDOM3_1_Random	-0.719396693564634	-0.478972721976899	0.801236930285329	NS
-0.346189813155033	0.407970018023222	FOXA1	-2.44595197629751	-2.79214178945254	0.843494006530403	NS
0.312903334910965	0.357033467652696	RANDOM1_1_Random	-2.25037716503067	-1.9374738301197	0.821329334768447	NS
0.154561410757139	0.609893210700501	NR3C2	-1.884580530467	-1.73001911970986	0.908130000950612	NS
0.160903095059003	0.762735447762977	RFX1	-1.88695346507687	-1.72605037001786	0.908130000950612	NS
-0.046895890268523	0.738770011401605	SP1	1.46392198804102	1.41702609777249	0.908130000950612	NS
-5.37088665755194	3.98060959927818e-05	TCF7L2	-0.265124682179948	-5.63601133973188	0.00169839342902536	Downregulated
0.635061512832989	0.000258941584648519	ESRRB	-2.6244765492974	-1.98941503646441	0.00662890456700209	Upregulated
0.529087049093384	0.000661463114458062	GBX2	-3.0365174285852	-2.50743037949182	0.0120953255215188	NS
-0.619194619066102	0.0263043946602525	IRF3	0.594625595435616	-0.0245690236304856	0.240497322608023	NS
