tf,condition,reporterFC,replicate,logFC,p_adjusted,sig,ctrl_activity
FOS::JUN,mES_SOX2_DEG,1.22304771944139,R1,0.480760366539388,0.0341148969020267,NS,0.513166023736043
FOS::JUN,mES_SOX2_DEG,1.42734411993217,R2,0.480760366539388,0.0341148969020267,NS,0.513166023736043
FOSL1,mES_CH,0.183269745061591,R1,0.0168070313054625,0.948826322066587,NS,-1.48375733691224
FOSL1,mES_CH,-0.00121614739402132,R2,0.0168070313054625,0.948826322066587,NS,-1.48375733691224
FOSL1,mES_CH,-0.0965340410955544,R3,0.0168070313054625,0.948826322066587,NS,-1.48375733691224
FOSL1,mES_FOXA1_OE,0.416975535582366,R3,0.825015290575286,0.279449248096178,NS,-1.42244424883747
FOSL1,mES_LIF,0.0446923053843016,R1,-0.177279582511632,0.682813233196246,NS,-1.47967009487933
FOSL1,mES_LIF,-0.253046386007053,R2,-0.177279582511632,0.682813233196246,NS,-1.47967009487933
FOSL1,mES_LIF,-0.0656803246652309,R3,-0.177279582511632,0.682813233196246,NS,-1.47967009487933
FOSL1,mES_POU5F1_DEG,0.358989578897986,R1,0.579649036171998,0.0891896047848227,NS,-2.29664954796992
FOSL1,mES_POU5F1_DEG,0.261314675966442,R2,0.579649036171998,0.0891896047848227,NS,-2.29664954796992
FOSL1,mES_SOX2_DEG,-0.575546296334947,R1,-0.376975537288597,0.119127476246147,NS,-1.26969202414691
FOSL1,mES_SOX2_DEG,0.0148842719104652,R2,-0.376975537288597,0.119127476246147,NS,-1.26969202414691
FOXA1,mES_CH,-0.521480135139029,R1,-0.346189813155033,0.843494006530403,NS,-2.44595197629751
FOXA1,mES_CH,-0.0774738047243968,R2,-0.346189813155033,0.843494006530403,NS,-2.44595197629751
FOXA1,mES_CH,-0.197820472949955,R3,-0.346189813155033,0.843494006530403,NS,-2.44595197629751
FOXA1,mES_FOXA1_OE,3.89549686180024,R3,3.99358818535591,0.00635746711040553,Upregulated,-3.30876635667301
FOXA1,mES_LIF,-1.15642646990931,R1,-0.653446653685081,0.31857278348172,NS,-2.4382376595123
FOXA1,mES_LIF,-0.167047774926277,R2,-0.653446653685081,0.31857278348172,NS,-2.4382376595123
FOXA1,mES_LIF,0.086765024088423,R3,-0.653446653685081,0.31857278348172,NS,-2.4382376595123
FOXA1,mES_POU5F1_DEG,0.233791369884501,R1,0.580792003512075,0.505634085049571,NS,-4.3777621974177
FOXA1,mES_POU5F1_DEG,0.87858273541225,R2,0.580792003512075,0.505634085049571,NS,-4.3777621974177
FOXA1,mES_SOX2_DEG,-0.290026854272341,R1,0.487842108757551,0.336249942457815,NS,-2.70851140709659
FOXA1,mES_SOX2_DEG,0.750222150634583,R2,0.487842108757551,0.336249942457815,NS,-2.70851140709659
FOXO1,mES_CH,0.164767661976357,R1,0.110183435650613,0.908130000950612,NS,-1.04238920144434
FOXO1,mES_CH,0.120936239827202,R2,0.110183435650613,0.908130000950612,NS,-1.04238920144434
FOXO1,mES_CH,-0.502134390516039,R3,0.110183435650613,0.908130000950612,NS,-1.04238920144434
FOXO1,mES_FOXA1_OE,0.217202540550993,R3,0.547196161618587,0.92869572764428,NS,-1.55793569361026
FOXO1,mES_LIF,-0.173709777320918,R1,0.110361105539358,0.84182677613822,NS,-1.0337917166253
FOXO1,mES_LIF,-0.0206936473997214,R2,0.110361105539358,0.84182677613822,NS,-1.0337917166253
FOXO1,mES_LIF,-0.285052113052545,R3,0.110361105539358,0.84182677613822,NS,-1.0337917166253
FOXO1,mES_POU5F1_DEG,-0.663742822756698,R1,-0.383080212033694,0.694348875996288,NS,-1.56241950852765
FOXO1,mES_POU5F1_DEG,-0.71639196284297,R2,-0.383080212033694,0.694348875996288,NS,-1.56241950852765
FOXO1,mES_SOX2_DEG,2.21075253766183,R1,-0.437110977558121,0.525342095481583,NS,-1.41765915574066
GATA1,mES_CH,0.326375720748883,R1,0.0695810593344579,0.908130000950612,NS,-2.92563097611211
GATA1,mES_CH,0.223104707460882,R2,0.0695810593344579,0.908130000950612,NS,-2.92563097611211
GATA1,mES_CH,0.151969866639742,R3,0.0695810593344579,0.908130000950612,NS,-2.92563097611211
GATA1,mES_FOXA1_OE,-0.650473269100636,R3,-0.115888140283639,0.9678307207156,NS,-2.9797974673468
GATA1,mES_LIF,0.277661608321928,R1,-0.155706296458268,0.785376171246892,NS,-2.90320832366182
GATA1,mES_LIF,0.103178851386001,R2,-0.155706296458268,0.785376171246892,NS,-2.90320832366182
GATA1,mES_LIF,-0.356597115006823,R3,-0.155706296458268,0.785376171246892,NS,-2.90320832366182
GATA1,mES_POU5F1_DEG,0.451865598641372,R1,0.0826311147218985,0.939042585085944,NS,-4.09852961477374
GATA1,mES_POU5F1_DEG,0.936516991064608,R2,0.0826311147218985,0.939042585085944,NS,-4.09852961477374
GATA1,mES_SOX2_DEG,0.77068094141291,R1,-0.721103149943192,0.146252798398673,NS,-2.968459957369
GATA1,mES_SOX2_DEG,-0.632530368351232,R2,-0.721103149943192,0.146252798398673,NS,-2.968459957369
GATA3,mES_CH,0.830430024212197,R1,0.311661078465941,0.908130000950612,NS,-1.52542107752422
GATA3,mES_CH,-0.0878807853428836,R2,0.311661078465941,0.908130000950612,NS,-1.52542107752422
GATA3,mES_CH,0.196930041401124,R3,0.311661078465941,0.908130000950612,NS,-1.52542107752422
GATA3,mES_FOXA1_OE,1.26113225764585,R3,3.37470294897257,0.086936499032718,NS,-4.836052868066
GATA3,mES_LIF,0.936368158703675,R1,0.435792493047471,0.761975290896259,NS,-1.49669578696766
GATA3,mES_LIF,-0.0692530401570456,R2,0.435792493047471,0.761975290896259,NS,-1.49669578696766
GATA3,mES_LIF,0.691704095061133,R3,0.435792493047471,0.761975290896259,NS,-1.49669578696766
GATA3,mES_POU5F1_DEG,-0.252972090414089,R1,-0.828404407729663,0.43657381650942,NS,-4.0489104214261
GATA3,mES_POU5F1_DEG,-0.883156058061267,R2,-0.828404407729663,0.43657381650942,NS,-4.0489104214261
GATA3,mES_SOX2_DEG,0.28045662427112,R1,-0.188215431284925,0.807150419109337,NS,-1.89477049632908
GATA3,mES_SOX2_DEG,-0.0548046162823315,R2,-0.188215431284925,0.807150419109337,NS,-1.89477049632908
GATA4,mES_CH,-0.160405137774749,R1,-0.132439263584176,0.801236930285329,NS,1.86009744533475
GATA4,mES_CH,-0.203081497101321,R2,-0.132439263584176,0.801236930285329,NS,1.86009744533475
GATA4,mES_CH,0.0153757520400046,R3,-0.132439263584176,0.801236930285329,NS,1.86009744533475
GATA4,mES_FOXA1_OE,-1.39272930124438,R3,-0.98764799924488,0.421065485740562,NS,2.53612759435201
GATA4,mES_LIF,-0.206342224575792,R1,0.0441545203959633,0.886248731931273,NS,1.90979656824861
