logFC	P.Value	tf	DMSO	PMA	p_adjusted	sig
-0.0927406581138231	0.595346323614704	POU2F1	0.42447619005322	0.331735531939397	0.76172793912689	NS
-0.0582660295647277	0.748799231144258	ETS2	1.20078298101035	1.14251695144562	0.847325445768502	NS
-0.0576021631885319	0.691337781105733	ATF4	2.35412962386967	2.29652746068114	0.803448214665837	NS
0.0688155745374508	0.67543783868096	THRB	-0.654165441154121	-0.585349866616671	0.80252912246516	NS
0.217952144971286	0.0118642881000328	XBP1	-0.852225075164478	-0.634272930193192	0.391104384917991	NS
0.47796365669287	0.0121272677493951	REL	1.31635381815636	1.79431747484923	0.391104384917991	NS
-0.259865349957308	0.0441019927363238	NR4A2::RXRA	0.776751739833135	0.516886389875827	0.678107357407369	NS
0.281306861399795	0.0546624504439831	RANDOM2_2_mCMV	-2.30625353176309	-2.02494667036329	0.678107357407369	NS
0.358008889425596	0.0724840761003932	NFATC1	-2.12352822370747	-1.76551933428188	0.678107357407369	NS
0.359888118128803	0.0750468268156308	HSF1	-2.30946650055207	-1.94957838242327	0.678107357407369	NS
0.234552225415711	0.104023645060531	SOX9	-2.29293339841883	-2.05838117300312	0.678107357407369	NS
-0.167667268944423	0.122685938047311	RARA:RXRA	-0.265684755055306	-0.433352023999729	0.678107357407369	NS
-0.176350713589579	0.129276736335146	E2F1	1.01985346002822	0.843502746438646	0.678107357407369	NS
0.31593225033787	0.158491930734379	RORA	-2.12527030051876	-1.80933805018088	0.678107357407369	NS
0.155158937248185	0.153438292606027	FOS::JUN	0.590829518687442	0.745988455935627	0.678107357407369	NS
0.183747557572859	0.164039980171097	NR1I3	-1.92326296685624	-1.73951540928338	0.678107357407369	NS
0.20131301664335	0.168338906683894	CLOCK	1.22213879857173	1.42345181521508	0.678107357407369	NS
-0.251381590780681	0.190405867460653	NR1H2	1.28158046420754	1.03019887342686	0.678107357407369	NS
-0.123550348984098	0.193185118589594	KLF4	0.134872292765631	0.0113219437815324	0.678107357407369	NS
0.19466517771247	0.188873553244584	RANDOM3_2_mCMV	-1.6502095880726	-1.45554441036013	0.678107357407369	NS
0.195186557959826	0.214868738193114	GATA1	-2.47402771708884	-2.27884115912901	0.678107357407369	NS
0.223828041189745	0.243530885980939	PPARG::RXRA	-2.09812057365444	-1.87429253246469	0.678107357407369	NS
-0.215069535930555	0.253239652641385	TFCP2L1	1.62084049776667	1.40577096183612	0.678107357407369	NS
0.17293334118661	0.273912858799861	STAT1::STAT2	-2.10016014297941	-1.9272268017928	0.678107357407369	NS
0.12934534687152	0.279529675876771	SREBF1	-2.26864065835187	-2.13929531148035	0.678107357407369	NS
-0.103776849092839	0.280068340153714	MAF::NFE2	1.9022757943898	1.79849894529696	0.678107357407369	NS
0.197593562028388	0.283858893798433	EGR1	-1.79041050063174	-1.59281693860335	0.678107357407369	NS
-0.297834213815749	0.308745415637917	TCF7	1.35044299139937	1.05260877758362	0.681454454445721	NS
0.163714292429073	0.319940533390393	RANDOM1_1_mCMV	-2.44181003516587	-2.2780957427368	0.681454454445721	NS
0.164526480778907	0.312169740666565	NR3C1	-2.78021980761238	-2.61569332683347	0.681454454445721	NS
0.143236624543415	0.335457188878013	GLI1	-2.25048657936364	-2.10724995482022	0.681454454445721	NS
0.119354127366368	0.358261313616261	RANDOM3_1_mCMV	-1.84909706847421	-1.72974294110785	0.681454454445721	NS
0.163296744338594	0.359157465104352	RANDOM3_3_mCMV	-1.91610306591818	-1.75280632157959	0.681454454445721	NS
-0.0824880555527018	0.374571126179986	NFYA	0.531567525699766	0.449079470147065	0.681454454445721	NS
-0.0891192250920696	0.383584854020755	SOX2	0.702856552520935	0.613737327428866	0.681454454445721	NS
0.114589658618259	0.386567351696931	THRA	-1.74148576316245	-1.62689610454419	0.681454454445721	NS
0.106140665150088	0.411722037660223	TFEB	1.51989244339409	1.62603310854418	0.681454454445721	NS
0.177616131167163	0.412042228269506	RANDOM2_1_mCMV	-2.43686013316891	-2.25924400200174	0.681454454445721	NS
0.0656844013611005	0.670727824312583	HNF4A	-0.663320987180753	-0.597636585819653	0.80252912246516	NS
-0.108224405360187	0.430512023246373	GATA4	2.25753500330336	2.14931059794317	0.688883315509133	NS
0.078440013120725	0.466539048823231	FOSL1	-0.997206054008385	-0.91876604088766	0.693582895303661	NS
0.149149463045551	0.467765208460609	RBPJ	-2.24286274646469	-2.09371328341914	0.693582895303661	NS
0.128351861502043	0.453915362932375	RANDOM1_2_mCMV	-1.91859285773498	-1.79024099623293	0.688883315509133	NS
0.10283167485484	0.487335842166709	VDR::RXRA	-1.85321552239132	-1.75038384753648	0.714390041358016	NS
0.074855832924312	0.513929849588664	MYC	-0.199337140441731	-0.124481307517419	0.729134844155147	NS
-0.0938041255709113	0.574388392906982	CEBPB	0.146898740478007	0.0530946149070961	0.75608268045919	NS
0.0451666564987401	0.763970374308878	NR1D1	-2.66139283780881	-2.61622618131007	0.856975463355176	NS
0.0915603018199214	0.572199873422768	ESR1	-1.80023374205744	-1.70867344023752	0.75608268045919	NS
0.0860699912836896	0.507100163153506	RANDOM1_3_mCMV	-2.12618394064903	-2.04011394936534	0.729134844155147	NS
-0.081742027071372	0.596391642262138	NRF1	2.25795098697015	2.17620895989877	0.76172793912689	NS
0.0763575507468132	0.631210865405967	RANDOM2_3_mCMV	-2.31908640517774	-2.24272885443093	0.795994504165626	NS
-0.093099981729292	0.567789952907319	POU5F1	-0.386457175960527	-0.479557157689819	0.75608268045919	NS
-0.0674796370015363	0.590870758295796	TEAD1	1.18153841391572	1.11405877691418	0.76172793912689	NS
0.116183183042467	0.527161199852872	TFAP2A	-2.05280364611259	-1.93662046307012	0.739171682402396	NS
-0.0598148766354851	0.657235234416512	MEF2A	0.617207662657426	0.557392786021941	0.80252912246516	NS
-0.0844613235280187	0.635561503326042	IRX3	-0.511004836685514	-0.595466160213533	0.795994504165626	NS
-0.124923375057338	0.66327123130608	HNF1A	-0.33839159023107	-0.463314965288407	0.80252912246516	NS
0.0213713495019506	0.937471207002268	TP53	2.14833728978383	2.16970863928578	0.952234533096792	NS
-0.0236987993766793	0.896713277714004	SMAD2::SMAD3::SMAD4	-1.24470206148249	-1.26840086085917	0.940455388822005	NS
0.0597960640977196	0.67810600270312	NR1I2	-1.5857490239362	-1.52595295983848	0.80252912246516	NS
-0.0460561356120508	0.810776647280445	NR5A2	-1.39152784667712	-1.43758398228917	0.87890913864855	NS
-0.0470107159987399	0.725208585662245	STAT4	-0.0466440088320086	-0.0936547248307484	0.830659993676844	NS
-0.0251724320633103	0.79268270167113	NR4A1	-1.36592164936667	-1.39109408142998	0.868611169349908	NS
-0.0115967072746402	0.920141622403595	MTF1	2.36098450574131	2.34938779846667	0.948847352162855	NS
-0.0452670060252543	0.790909057367409	SRF	-0.977540509561733	-1.02280751558699	0.868611169349908	NS
-0.00112240856684647	0.994862235247992	AHR::ARNT	-1.32613124209456	-1.3272536506614	0.994862235247992	NS
-0.0202258689536272	0.83032346004175	NR1H4::RXRA	-0.655702417758591	-0.675928286712218	0.892597719544881	NS
0.0179237411650108	0.910885383037166	WT1	-1.32522371417508	-1.30729997301007	0.947614632353181	NS
