logFC	P.Value	tf	DMSO	FOXA1	p_adjusted	sig
-0.614018389738924	0.137752670614696	MTF1	1.80916465289061	1.19514626315169	0.705293673547243	NS
1.1851038557286	0.103403906105813	RARA:RXRA	-3.20274192925604	-2.01763807352744	0.671825225493959	NS
1.35308266553686	0.211921273481327	HSF1	-4.63305371602404	-3.27997105048718	0.789720059729306	NS
0.672088966037478	0.174252477242828	NFAT5	-3.73110275939933	-3.05901379336185	0.777623211132242	NS
-0.700752267368696	0.209381861474465	TFEB	0.164044173986653	-0.536708093382044	0.789720059729306	NS
1.69762420176059	0.230089687493021	RANDOM2_1_mCMV	-5.36745631801193	-3.66983211625134	0.789720059729306	NS
0.971359570332107	0.367766532753881	ESR1	-4.06601919784198	-3.09465962750987	0.797866376144013	NS
0.402630347638422	0.250849171514165	ESRRB	-1.46964035074479	-1.06701000310636	0.789720059729306	NS
0.464339839113154	0.211919875745259	CEBPB	-0.543702782092572	-0.0793629429794179	0.789720059729306	NS
0.77894656755654	0.219298616211098	NR1I2	-3.88436791111363	-3.10542134355709	0.789720059729306	NS
0.777165130173591	0.416724423810993	RANDOM3_3_mCMV	-1.79482025364279	-1.0176551234692	0.82062655765857	NS
-0.900194288937504	0.534988187651979	NR3C1	-4.71447289906807	-5.61466718800558	0.922631756910257	NS
0.776444379309452	0.324350054676623	SRF	-2.58540305953742	-1.80895868022797	0.789720059729306	NS
0.416990142026283	0.345502526131571	RANDOM3_2_mCMV	-1.95334321456816	-1.53635307254188	0.789720059729306	NS
-0.569932564264043	0.557374536352251	RANDOM3_1_mCMV	-2.58935406408181	-3.15928662834585	0.922631756910257	NS
0.686640410471775	0.342265756543786	PPARG::RXRA	-2.73205957340013	-2.04541916292835	0.789720059729306	NS
-1.23263001237812	0.47452927607242	HNF1A	-3.71412639467519	-4.9467564070533	0.893231578489261	NS
-0.770016009919399	0.265146212415061	VDR::RXRA	-3.01639435113836	-3.78641036105776	0.789720059729306	NS
0.311342343627201	0.846865045786271	NFYA	-3.08103300724931	-2.76969066362211	0.934471774660713	NS
-0.443534476773737	0.393811513234395	NR4A2::RXRA	-1.77869218447318	-2.22222666124692	0.82062655765857	NS
0.291629694994254	0.413080367855257	STAT4	-1.21152762286651	-0.919897927872251	0.82062655765857	NS
-0.198043670571164	0.755887009365348	EGR1	-1.65692058441925	-1.85496425499042	0.92869572764428	NS
-0.512061527172584	0.742848821908384	RANDOM2_2_mCMV	-2.82609815336014	-3.33815968053273	0.92869572764428	NS
0.262502513311896	0.612998891544078	TP53	3.83460576398593	4.09710827729782	0.923104213148729	NS
-0.208552514891924	0.549798770353261	ELK1_B	2.43143821504799	2.22288570015607	0.922631756910257	NS
0.457856504953147	0.498493769929366	SMAD2::SMAD3::SMAD4	-2.10054594085419	-1.64268943590104	0.90610426059522	NS
-0.303980603493267	0.336347140313216	NR4A1	-0.8764050522702	-1.18038565576347	0.789720059729306	NS
0.323564241358589	0.839842834274232	RANDOM1_1_mCMV	-2.9637907625878	-2.64022652122921	0.934471774660713	NS
0.307903094943009	0.57664484806891	GLI1	-2.88459660352306	-2.57669350858005	0.922631756910257	NS
-0.103028971654681	0.819864197060966	KLF4	-0.454596271616765	-0.557625243271446	0.92869572764428	NS
-0.312723195469063	0.755192725733378	RANDOM2_3_mCMV	-3.55546500006914	-3.8681881955382	0.92869572764428	NS
-0.161320710936589	0.611297063012422	NRF1	0.597353059193268	0.436032348256679	0.923104213148729	NS
-0.115888140283639	0.889461299561465	GATA1	-2.9797974673468	-3.09568560763044	0.9678307207156	NS
0.0661859157020229	0.907964165385299	NR1H4::RXRA	-3.26183251524364	-3.19564659954162	0.9678307207156	NS
-0.430810921892211	0.6920387258333	TFAP2A	-3.88569493478973	-4.31650585668194	0.92869572764428	NS
0.221789567379107	0.529132554922223	TEAD1	0.451437096897704	0.673226664276811	0.922631756910257	NS
0.628738584769484	0.671893987788409	RANDOM1_2_mCMV	-3.44575833151453	-2.81701974674505	0.92869572764428	NS
0.0665056194427014	0.963569211996871	IRF1	-3.89654255543056	-3.83003693598786	0.971156371146452	NS
-0.036620296566701	0.949361799388296	NFATC1	-3.0596937966488	-3.0963140932155	0.9678307207156	NS
0.158126668061035	0.77619864210075	STAT1::STAT2	-3.1334301928872	-2.97530352482616	0.92869572764428	NS
0.20057097704917	0.564784249650479	XBP1	-2.02345566329787	-1.8228846862487	0.922631756910257	NS
-0.170698873706884	0.754242607996196	POU5F1::SOX2	0.446560498933043	0.275861625226159	0.92869572764428	NS
0.0291936864383629	0.915631050880363	REL	1.06501668186926	1.09421036830762	0.9678307207156	NS
0.126426506521005	0.8374296192751	MAF::NFE2	1.89877395972312	2.02520046624412	0.934471774660713	NS
1.0680333356336	0.0131864592985755	CREB1	-1.84809664566383	-0.780063310030227	0.213085877604381	NS
0.985324877478175	0.287804195293341	RANDOM1_3_hBGm	-4.35994206440563	-3.37461718692745	0.789720059729306	NS
1.48339871555074	0.318131220769025	RANDOM2_3_hBGm	-3.63621612505417	-2.15281740950343	0.789720059729306	NS
0.985676522034484	0.302199071397272	RANDOM1_2_hBGm	-3.96670438381616	-2.98102786178168	0.789720059729306	NS
0.507580281697836	0.275372295113051	NFKB1	-0.58971477932163	-0.0821344976237944	0.789720059729306	NS
1.02378951865161	0.260067279351926	RANDOM3_3_hBGm	-5.4282319850583	-4.40444246640669	0.789720059729306	NS
0.739896396038023	0.588742125032531	IRX3	-1.29367692504605	-0.553780529008026	0.923104213148729	NS
0.767688367860788	0.289137640790203	GBX2	-2.6693621634106	-1.90167379554981	0.789720059729306	NS
0.648482124031029	0.290948505827786	SMAD4	-3.44018521347398	-2.79170308944295	0.789720059729306	NS
-0.745720533820395	0.397634727278498	IRF3	1.74362182141894	0.997901287598542	0.82062655765857	NS
-1.03565945265409	0.502604707048911	TCF7L2	-3.53502714732971	-4.5706865999838	0.90610426059522	NS
-1.34197937413192	0.573732743644443	HOMEZ	-3.36627331272021	-4.70825268685213	0.922631756910257	NS
-0.0868020523207619	0.952708365704419	RANDOM2_2_hBGm	-4.56370686012251	-4.65050891244327	0.9678307207156	NS
0.167107636595152	0.794568566075139	RANDOM1_1_hBGm	-3.9793852148804	-3.81227757828525	0.92869572764428	NS
0.410119575991299	0.638680717854925	RANDOM3_2_hBGm	-2.77014730669399	-2.36002773070269	0.92869572764428	NS
0.431025535155077	0.690210690884454	RANDOM3_1_hBGm	-3.24547296697965	-2.81444743182458	0.92869572764428	NS
-0.526792822131356	0.42525630197251	STAT3	0.391186098288187	-0.13560672384317	0.824739494734565	NS
0.385866236928843	0.816140760853561	NEUROG2	-4.49221567128869	-4.10634943435984	0.92869572764428	NS
0.297312030333107	0.715367795018204	PAX6	-5.3793385919351	-5.08202656160199	0.92869572764428	NS
-0.0232271639073882	0.950852669182172	NFE2L2	2.90482417299063	2.88159700908324	0.9678307207156	NS
0.189854248526318	0.896963963949128	RANDOM2_1_hBGm	-4.04499252675543	-3.85513827822911	0.9678307207156	NS
0.00091778078649805	0.998595782231936	SP1	-0.529991524198071	-0.529073743411573	0.998595782231936	NS
1.3713632964493	0.297336985801574	RFX1	-3.3991381211304	-2.0277748246811	0.789720059729306	NS
-1.02282487703948	0.412377504045375	MEF2A	-1.58611305252384	-2.60893792956333	0.82062655765857	NS
-1.34639373822455	0.500430244061215	SOX9	-0.989944163677447	-2.336337901902	0.90610426059522	NS
0.547196161618587	0.666391913531599	FOXO1	-1.55793569361026	-1.01073953199167	0.92869572764428	NS
-0.254594684698416	0.595830967341539	RANDOM1_1_Random	-0.569059756198432	-0.823654440896848	0.923104213148729	NS
-0.202124518252906	0.797714317644041	RANDOM2_1_Random	-2.45756582676422	-2.65969034501712	0.92869572764428	NS
-0.134933462622755	0.663341504348295	RANDOM3_1_Random	1.34483713772087	1.20990367509811	0.92869572764428	NS
