logFC	P.Value	tf	DMSO	POU5F1	p_adjusted	sig
-0.332502448380041	0.564597972555476	CEBPA	-3.18685053080371	-3.51935297918375	0.701636315408747	NS
0.136854461298323	0.837652174931231	RARA	-2.23359881216989	-2.09674435087157	0.939042585085944	NS
-0.154529475388806	0.680205711022087	WT1	-2.42461254182953	-2.57914201721834	0.813704028138571	NS
-0.00173780949787981	0.998183087815994	STAT1	-4.23627892869561	-4.23801673819349	0.998183087815994	NS
-2.60859715835269	1.53418608867291e-11	POU5F1::SOX2	-0.624021158191873	-3.23261831654456	1.96375819350133e-09	Downregulated
-1.37271221759607	1.24007572721885e-09	SOX2	0.374674218637215	-0.998037998958858	7.93648465420062e-08	Downregulated
-1.24806400229095	2.59325171403799e-08	E2F1	1.10438437524323	-0.143679627047717	1.10645406465621e-06	Downregulated
1.20799729585882	6.85541023805561e-06	STAT1::STAT2	-3.4770594699742	-2.26906217411538	0.000175498502094224	Upregulated
1.04104901730996	1.95316482229961e-05	FOS::JUN	0.678269659883984	1.71931867719395	0.000357150138934787	Upregulated
0.884780108741419	3.86186012499767e-05	REL	1.09586310767231	1.98064321641373	0.000549242328888557	Upregulated
-1.40949622897044	0.000299079578716574	KLF4	0.0726020245908558	-1.33689420437959	0.0034801987341565	Downregulated
-1.22314077223536	0.000598145215029069	NR4A2::RXRA	-2.13720278808863	-3.36034356032398	0.00546875625169434	Downregulated
1.04108414586535	0.00092009003358081	XBP1	-3.18938775672592	-2.14830361086058	0.00736072026864648	Upregulated
0.969316337492324	0.00211015197548834	TEAD1	-0.763475137597451	0.205841199894873	0.0150055251590282	NS
-0.740766106477414	0.00339407966612663	STAT4	-1.351620834267	-2.09238694074442	0.0228653788033794	NS
-0.777266706284095	0.00400435228992581	MTF1	1.50120903556556	0.723942329281461	0.0256278546555252	NS
1.34675377402059	0.013184655568531	HNF4A	-5.55058418420669	-4.2038304101861	0.0733754744683463	NS
-0.511538466142	0.0188134322592985	CLOCK	0.499240193092446	-0.0122982730495548	0.0891896047848227	NS
0.579649036171998	0.0186950749588434	FOSL1	-2.29664954796992	-1.71700051179792	0.0891896047848227	NS
-0.543167390606515	0.0403903825897139	MYC	-1.46192227145663	-2.00508966206314	0.161561530358856	NS
1.00088106927044	0.0450287901989733	RBPJ	-5.23697449927571	-4.23609343000527	0.17465712562026	NS
0.289008405495251	0.0872318322999194	NRF1	0.460165320159897	0.749173725655148	0.25966684963697	NS
-0.409767703701415	0.0744648728743589	NR4A1	-1.9798523600157	-2.38962006371711	0.250829045471525	NS
-0.86987487567869	0.142964667785914	EGR1	-2.22739406926007	-3.09726894493875	0.365989549531941	NS
0.725386780039288	0.148110813859202	PPARG::RXRA	-3.38116372196896	-2.65577694192967	0.371729101450546	NS
-0.384604914338724	0.155956043524795	POU5F1	-1.72195827630843	-2.10656319064716	0.376648557946676	NS
0.512265786586296	0.163055355335684	SRF	-3.81727952833947	-3.30501374175317	0.379474281508501	NS
-0.327701387182957	0.161226115706469	TCF7	1.57348923651081	1.24578784932785	0.379474281508501	NS
-0.828404407729663	0.201233243547311	GATA3	-4.0489104214261	-4.87731482915577	0.43657381650942	NS
-0.605585228073933	0.189607287883926	NFAT5	-4.33686386410685	-4.94244909218079	0.418443669812802	NS
0.366396525174117	0.370484394929363	NR3C1	-4.36007859080893	-3.99368206563481	0.600278513303272	NS
0.431172951857115	0.208873019498805	MAF::NFE2	1.90739862576782	2.33857157762494	0.445595774930785	NS
0.580792003512075	0.252817042524785	FOXA1	-4.3777621974177	-3.79697019390562	0.505634085049571	NS
-0.545839316278482	0.340422173523578	TFCP2L1	0.867277372553711	0.321438056275229	0.580987176146907	NS
-0.47435430162549	0.268782353896222	SMAD2::SMAD3::SMAD4	-2.46223976702494	-2.93659406865044	0.520291852281503	NS
0.407930639900383	0.362856584785851	RANDOM3_1_mCMV	-2.91095951090831	-2.50302887100793	0.595456959648576	NS
-0.166001658409328	0.311707951702635	ELK1_B	2.60831153740702	2.4423098789977	0.55808781469597	NS
