logFC	P.Value	tf	DMSO	SOX2	p_adjusted	sig
0.563110841554087	0.507487743220852	RANDOM2_2_minP	-2.13899666197674	-1.57588582042266	0.649584311322691	NS
0.196892694007019	0.74409179261642	RANDOM1_3_minP	-1.43835163398495	-1.24145893997793	0.807150419109337	NS
0.544500415062547	0.402130168493842	AR	-1.02358753176829	-0.479087116705746	0.571482764304678	NS
0.141157302495535	0.71469166540883	RANDOM1_2_minP	-1.34805699391652	-1.20689969142099	0.799038140005914	NS
-0.0775837432987834	0.855035907286256	OTX1	-0.649132206485812	-0.726715949784595	0.882617710747103	NS
0.309858282828175	0.543193725444882	RUNX2	-1.79512596002496	-1.48526767719678	0.675036862688785	NS
-0.173788474312493	0.542100981318688	ZFP42	-0.789532216856196	-0.963320691168689	0.675036862688785	NS
0.308925308883811	0.585230829505868	STAT1	-2.2015014082352	-1.89257609935139	0.70008921660515	NS
-0.127243200083679	0.690148695937289	MYBL2	-0.926198387633599	-1.05344158771728	0.781761354690026	NS
-0.188215431284925	0.738819208880754	GATA3	-1.89477049632908	-2.082985927614	0.807150419109337	NS
0.297612693024369	0.631245648103472	ONECUT1	-2.60317829112619	-2.30556559810183	0.72142359783254	NS
-3.87633651535544	2.87448845117566e-18	SOX2	1.23078747439675	-2.64554904095869	3.67934521750484e-16	Downregulated
2.18797730259022	2.5142670688769e-17	MEF2A	1.08913069288304	3.27710799547325	1.60913092408121e-15	Upregulated
-1.65172711628996	4.79738303352538e-14	KLF4	0.453684158585629	-1.19804295770433	2.0468834276375e-12	Downregulated
-1.7313269042549	1.15052169194543e-11	E2F1	0.407430806111485	-1.32389609814341	3.01574995380698e-10	Downregulated
-2.30078887860978	7.02077937365461e-11	NR4A2::RXRA	1.15130831620491	-1.14948056240487	1.49776626637965e-09	Downregulated
-0.682016098920347	1.11212220158941e-07	MTF1	2.07546296854078	1.39344686962043	1.09501262925726e-06	Downregulated
-1.34760287054739	7.91287846463427e-07	STAT4	-0.472628654217768	-1.82023152476515	6.33030277170741e-06	Downregulated
-1.5159688762579	8.84215726412777e-07	POU5F1	-0.733597366474955	-2.24956624273285	6.65762429299032e-06	Downregulated
0.85739354346581	5.29221408266809e-06	TCF7	1.14758709604936	2.00498063951517	3.48989011190433e-05	Upregulated
-0.958102514046326	1.36307238496349e-05	HIF1A	-1.11385181003366	-2.07195432407998	8.30825072739651e-05	Downregulated
0.755575209469839	2.00834826224557e-05	MAF::NFE2	1.91688261636524	2.67245782583508	0.000116849353439742	Upregulated
-0.979715747151637	5.93608988336823e-05	HNF4A	-1.17721944082632	-2.15693518797796	0.000316591460446306	Downregulated
0.725913074302907	0.00011990950981838	REL	1.13836133976028	1.86427441406319	0.000593793604941771	Upregulated
-0.986053470578571	0.000143707118506969	WT1	-1.64585429377719	-2.63190776435576	0.000681278191440448	Downregulated
-0.798887315734191	0.000457942769509415	NR4A1	-1.93559916784075	-2.73448648357494	0.00209345266061447	Downregulated
-0.755802644757982	0.000780361454596578	SMAD2::SMAD3::SMAD4	-2.05716450051982	-2.8129671452778	0.00344435400649524	Downregulated
0.462272259881147	0.00124456270407768	NRF1	1.81486899649106	2.2771412563722	0.00513883955232075	Upregulated
-1.00227565835578	0.00196905799080104	NR1H4::RXRA	-1.80744226943178	-2.80971792778756	0.00763755826734948	Downregulated
-1.13994872582932	0.00306849521639751	EGR1	-2.03737500224714	-3.17732372807646	0.0112219253628252	NS
-0.499068938482184	0.00777982293904374	GLI1	-2.35990873382829	-2.85897767231047	0.0255337778512205	NS
0.480760366539388	0.0106609052818833	FOS::JUN	0.513166023736043	0.99392639027543	0.0341148969020267	NS
-1.21633637655967	0.0147165420975964	NFATC1	-2.96686400077238	-4.18320037733205	0.0448504140117224	NS
0.348177366035264	0.0265523555333463	TEAD1	0.422881082282428	0.771058448317692	0.0755267001837405	NS
-0.419540194969811	0.0409442041025311	CEBPB	0.178556327621566	-0.240983867348245	0.102761924022039	NS
0.447373220594909	0.0348120936789685	CLOCK	-0.027225468720264	0.420147751874645	0.0928322498105826	NS
-0.62061613230254	0.0739599392338158	RANDOM2_3_mCMV	-2.88182498339247	-3.50244111569501	0.166085477577692	NS
-0.343201794959849	0.0660175354957788	MYC	-0.561850279460694	-0.905052074420543	0.150897223990351	NS
-0.721103149943192	0.0628429993119297	GATA1	-2.968459957369	-3.68956310731219	0.146252798398673	NS
-0.376975537288597	0.0483955372249971	FOSL1	-1.26969202414691	-1.64666756143551	0.119127476246147	NS
-0.252015925281753	0.0549052931157414	GATA4	1.87022117137577	1.61820524609402	0.130145879978054	NS
-0.551737946464429	0.0885695721112571	RANDOM1_3_mCMV	-3.0915024447208	-3.64324039118523	0.195463883280016	NS
0.615531815307768	0.149458463145149	HNF1A	-0.691138045135926	-0.075606229828158	0.296318217141997	NS
0.25900517870597	0.169522398287144	TFEB	1.25272760929705	1.51173278800302	0.314476333054412	NS
0.834925961466474	0.157022952222324	NR1D1	-3.73726196724613	-2.90233600577966	0.304529361885719	NS
-0.701588044320647	0.187943860437598	RANDOM1_2_mCMV	-2.70349364767804	-3.40508169199869	0.32954539912346	NS
-0.638218106419172	0.178409577151106	RANDOM3_2_mCMV	-1.53253692241091	-2.17075502883008	0.321639801061148	NS
0.673542043777729	0.165287634256039	HSF1	-3.4811928216681	-2.80765077789037	0.311129664481955	NS
-0.397736064830295	0.164636868954138	AHR::ARNT	-2.20056342076079	-2.59829948559109	0.311129664481955	NS
-0.421264965635	0.21439121256793	NR1I2	-2.64854800516917	-3.06981297080417	0.35639058712591	NS
0.504253804493625	0.339737774602521	THRA	-3.38960069420521	-2.88534688971158	0.517695656537174	NS
0.718641223833575	0.23510449750607	RBPJ	-4.77572796522441	-4.05708674139083	0.380928806085785	NS
-0.322981789997508	0.37585237675599	SREBF1	-2.47667248172179	-2.7996542717193	0.549510780368552	NS
0.605876177131067	0.396116708914979	IRX3	-2.61269591503251	-2.00681973790144	0.56969594091143	NS
-0.393135436447547	0.284487652465586	TFCP2L1	1.64693412300464	1.2537986865571	0.449560734760432	NS
-0.408251673897924	0.625206108184665	NFYA	-0.687278037542854	-1.09552971144078	0.720958395023758	NS
-0.332880530586229	0.464047424620879	VDR::RXRA	-2.83830776464622	-3.17118829523245	0.614608552968505	NS
-0.216428045819494	0.455211473310325	RANDOM3_1_mCMV	-2.16090908165438	-2.37733712747387	0.613337564039174	NS
-0.599945736362483	0.441930524512163	RANDOM2_2_mCMV	-2.32112901441294	-2.92107475077542	0.601777735505925	NS
-0.234028379249181	0.605586482756124	TFAP2A	-2.29203066122296	-2.52605904047215	0.709825190908595	NS
-0.126603726649804	0.791343639807339	RANDOM2_1_mCMV	-3.16568559272466	-3.29228931937447	0.851193158784364	NS
-0.238678613204347	0.370419611499627	NR5A2	-1.88554070252412	-2.12421931572847	0.549510780368552	NS
0.0607485289676656	0.909321324170121	SOX9	-3.90092198109491	-3.84017345212724	0.923754995982345	NS
-0.313144065341741	0.534682768347389	RANDOM3_3_mCMV	-0.940247374207051	-1.25339143954879	0.675036862688785	NS
-0.0122920830478926	0.971012705569973	RARA:RXRA	-1.45850622896853	-1.47079831201642	0.978129809380548	NS
-0.213913451378643	0.610006023437073	NR1I3	-2.53581050650683	-2.74972395788547	0.709825190908595	NS
0.209373111200551	0.560522169642337	PPARG::RXRA	-3.46475606637339	-3.25538295517284	0.676856959568105	NS
0.141393415899581	0.431570824566967	XBP1	-1.61730328651604	-1.47590987061646	0.59398995209217	NS
-0.234011776177196	0.603393139432092	IRF1	-3.04467724785236	-3.27868902402956	0.709825190908595	NS
0.0507112991175046	0.867040373869925	STAT1::STAT2	-2.58568204397266	-2.53497074485515	0.887849342842803	NS
0.0130494337894185	0.978129809380548	NR3C1	-3.27457208153759	-3.26152264774817	0.978129809380548	NS
-0.0617191849665405	0.722826146089156	TP53	3.26339085465649	3.20167166968995	0.799038140005914	NS
0.120665073199239	0.805283041329524	ESR1	-3.1518931841758	-3.03122811097656	0.858968577418159	NS
-0.0990447552357902	0.724128314380359	SRF	-1.51324436807272	-1.61228912330851	0.799038140005914	NS
-0.117922436345435	0.85033871576211	RANDOM1_1_mCMV	-2.54513187434646	-2.6630543106919	0.882617710747103	NS
0.0898833382102379	0.850286641389853	RORA	-4.04929582683305	-3.95941248862282	0.882617710747103	NS
1.1356529899275	0.00763785846116273	RFX1	-2.17663335837691	-1.04098036844941	0.0255337778512205	NS
0.620351160122665	0.0378007898567787	NR3C2	-1.98891280695829	-1.36856164683563	0.0987449204421975	NS
0.487842108757551	0.194394497983424	FOXA1	-2.70851140709659	-2.22066929833904	0.336249942457815	NS
