logFC	P.Value	tf	DMSO	TFCP2L1	p_adjusted	sig
0.0723865396737169	0.617041406409498	RANDOM2_3_minP	-1.20971671780469	-1.13733017813098	0.780375896341424	NS
0.0288488719558385	0.904821005341346	GATA3	-1.25135167086682	-1.22250279891098	0.950884552876781	NS
0.100543379747071	0.558542582844706	NFIA	-1.34290651475398	-1.24236313500691	0.758442033547021	NS
-0.0524326610456067	0.794214633738667	ETS2	1.1993740361213	1.1469413750757	0.923006195966558	NS
0.0728381779872334	0.697254292741559	CEBPA	-1.24503376746747	-1.17219558948024	0.848545318525105	NS
0.0790833193005707	0.726762683749888	STAT1	-2.09974699111162	-2.02066367181104	0.867989986349093	NS
0.0467930482510072	0.837977255715194	RUNX2	-1.19683079185411	-1.15003774360311	0.945290474301951	NS
0.0402594698160485	0.804245677192241	FOXO1	-0.746636812930211	-0.706377343114162	0.926318681766063	NS
-0.0398908671106387	0.842077817724758	OTX1	-1.00561252075834	-1.04550338786898	0.945290474301951	NS
-0.00649045948425098	0.963412168667203	ATF4	2.34123496083505	2.3347445013508	0.994241358064554	NS
-0.0291447847583985	0.862596366119491	ATF2	-0.832667548261999	-0.861812333020398	0.949428193153183	NS
0.0202320485163827	0.886401523590531	RXRA	0.899144130746263	0.919376179262645	0.949428193153183	NS
-0.0288720022334047	0.85671841596768	POU2F1	0.426430083089567	0.397558080856163	0.949428193153183	NS
-1.39610185063586	3.02517662483821e-08	TFCP2L1	1.62683843104192	0.230736580406054	1.95123892302064e-06	Downregulated
0.378698828779245	0.000486454979526169	XBP1	-0.85145010562991	-0.472751276850666	0.0209175641196253	NS
-0.467909174759118	0.00109225198050381	STAT4	-0.0467060370030031	-0.514615211762121	0.0281064276558288	NS
-0.421018502751068	0.0011186377730613	E2F1	1.01646634825932	0.595447845508247	0.0281064276558288	NS
-0.432442114270698	0.00130727570492227	NR4A2::RXRA	0.776431263870438	0.34398914959974	0.0281064276558288	NS
0.514961329186191	0.00328044110346635	RANDOM2_2_mCMV	-2.30530694010242	-1.79034561091623	0.0470196558163509	NS
-0.324956800333799	0.0048214388212023	NR1H4::RXRA	-0.652253927823807	-0.977210728157606	0.0621965607935096	NS
-0.282908331177493	0.00869296310845848	SOX2	0.699430153592433	0.41652182241494	0.0934493534159287	NS
0.304889566510571	0.0108244146273398	MEF2A	0.615800209171117	0.920689775681688	0.107411498994372	NS
-0.261342498777604	0.020982423287617	KLF4	0.134366165667649	-0.126976333109954	0.180448840273506	NS
