logFC	P.Value	tf	DMSO	HQ	p_adjusted	sig
-0.0173517865098071	0.93376577973655	RANDOM1_3_minP	-0.90495536583168	-0.922307152341487	0.941060824890742	NS
0.0681374017130155	0.736860724888332	POU2F1	1.12992821435223	1.19806561606525	0.792125279254956	NS
-0.0672515531414951	0.780041238678674	PGR	-0.702080956378735	-0.76933250952023	0.813584333083528	NS
0.0938526955055825	0.575729883142396	POU5F1::SOX2	0.239688773120101	0.333541468625684	0.64581873848147	NS
-0.0590552734792275	0.807858820299783	THRB	0.458581698545047	0.39952642506582	0.833710302549376	NS
0.0185969517194655	0.927463928044609	ATF6	-0.447310836765738	-0.428713885046273	0.941060824890742	NS
-0.0153060930207038	0.942976161329946	RANDOM3_1_minP	-0.566835090511519	-0.582141183532223	0.942976161329946	NS
0.782317247043562	4.51997484495965e-06	MAF::NFE2	2.45029427809832	3.23261152514188	0.000291538377499898	Upregulated
-0.912875322669799	0.000109806136173984	SREBF1	-1.245644101263	-2.1585194239328	0.00354124789161097	Downregulated
-0.806828746340937	0.000251910296130394	MEF2A	-1.34013458458004	-2.14696333092098	0.004947997348996	Downregulated
-0.628922759911758	0.000655585442743745	NR4A1	-1.90425664226874	-2.5331794021805	0.0058040064958708	Downregulated
-0.715956027492349	0.000891273772178592	RARA:RXRA	-0.846106903477859	-1.56206293097021	0.0071858947881899	Downregulated
-0.689324291972498	0.00132788619140173	KLF4	-1.32307321132767	-2.01239750330017	0.00921813203827093	Downregulated
-0.624977232671996	0.00142916775787146	NR1H4::RXRA	-1.49545675718981	-2.12043398986181	0.00921813203827093	Downregulated
-0.669833401676759	0.00253146986721704	NR1I2	-1.20245466173903	-1.87228806341579	0.0138703753048213	NS
-0.717448190815921	0.00287109831392809	PPARG::RXRA	-1.27807477546284	-1.99552296627876	0.0142450647114124	NS
-0.492851874885552	0.00613605593205974	GLI1	-1.95864310010172	-2.45149497498728	0.0255339101688937	NS
-0.65217229304607	0.00707969024280854	NR3C1	-2.08708608842642	-2.73925838147249	0.0279749070685858	NS
-0.631288414650524	0.00788629235614855	RORA	-1.42173916328895	-2.05302757793947	0.0297842378404178	NS
-0.578634641740933	0.00808099476290405	SMAD2::SMAD3::SMAD4	-1.88286957496331	-2.46150421670424	0.0297842378404178	NS
-0.593885567898438	0.0142958078144103	TCF7	-1.35358495717288	-1.94747052507131	0.048530505475235	NS
-0.484274002629544	0.0131064059315248	RANDOM3_3_mCMV	-1.90430776162711	-2.38858176425665	0.0456953071666676	NS
-0.469063296157282	0.0153284284684043	E2F1	-1.59619693553929	-2.06526023169657	0.0507017249339528	NS
-0.5498596928724	0.0158468047188988	SOX2	-1.57629836877444	-2.12615806164684	0.0511059452184488	NS
-0.475189739681982	0.0187644921123055	RANDOM2_1_mCMV	-1.7889493411852	-2.26413908086718	0.0588578399671918	NS
0.338640482203063	0.0191630176637369	NRF1	3.15513709307856	3.49377757528163	0.0588578399671918	NS
-0.490208968494255	0.0215355600772839	NR4A2::RXRA	-1.4953668294419	-1.98557579793615	0.0642909722681159	NS
-0.435451006514477	0.0238689293172137	HIF1A	-1.84929746006353	-2.284748466578	0.0657533700282137	NS
-0.669204861053786	0.0243803919814671	NR5A2	-1.22585753779839	-1.89506239885217	0.0657533700282137	NS
-0.50964438225894	0.0244663702430563	CLOCK	-0.869249835489965	-1.3788942177489	0.0657533700282137	NS
-0.477822741168322	0.0243574129254151	NR1I3	-1.6786880411544	-2.15651078232272	0.0657533700282137	NS
-0.456013432359128	0.026953002088864	RBPJ	-1.30149822814529	-1.75751166050441	0.0709579034584378	NS
-0.409808742523945	0.0305679712919439	WT1	-1.23325531349245	-1.64306405601639	0.0788653659332153	NS
-0.458510984173087	0.0325216379099622	IRX3	-0.447866169426936	-0.906377153600023	0.0801019235680251	NS
-0.334794324791171	0.0329995820361191	MYC	-0.999591662775442	-1.33438598756661	0.0801019235680251	NS
-0.4554912957945	0.0443891469685946	RANDOM1_1_mCMV	-1.83864715519175	-2.29413845098625	0.0954366659824785	NS
-0.379775922878286	0.0424733374099832	SRF	-0.259634359007938	-0.639410281886225	0.0944665607911696	NS
-0.40772704478702	0.0432240598191379	TEAD1	-1.25421280394974	-1.66193984873676	0.0945068426554031	NS
0.401889639950976	0.0522435590991737	FOS::JUN	1.27413608451753	1.6760257244685	0.108700308448281	NS
-0.439060001803102	0.0502306334422353	TFAP2A	-1.83352885509813	-2.27258885690123	0.106225437935219	NS
-0.39226535069707	0.055433452744449	RANDOM2_2_mCMV	-1.92431326636017	-2.31657861705724	0.11173305318803	NS
-0.415050078744793	0.0618754222283128	STAT4	-1.32192481037693	-1.73697488912173	0.12093832526443	NS
-0.405929693769644	0.0669315802644793	THRA	-1.06326148720944	-1.46919118097909	0.128868266479371	NS
-0.421837960071483	0.0750568390923572	EGR1	-1.66628412614726	-2.08812208621875	0.142387238866384	NS
-0.278503718342266	0.0822076338982917	GATA4	-0.506527455321288	-0.785031173663553	0.151496925326852	NS
-0.294313675926791	0.0873238396286034	FOSL1	-0.869549139184295	-1.16386281511109	0.156455212667914	NS
-0.360313752205084	0.0992549357013976	CEBPB	-0.338035035314138	-0.698348787519221	0.170639340008598	NS
-0.363522587743166	0.100531704191112	AHR::ARNT	-1.06043189106144	-1.42395447880461	0.170639340008598	NS
0.203418786114477	0.118579322586637	MTF1	0.528177454014182	0.731596240128659	0.196111956585591	NS
-0.3427119094134	0.12681169053123	POU5F1	-1.15536739354342	-1.49807930295682	0.204483850981609	NS
-0.35903236799601	0.140658681065664	RANDOM1_2_mCMV	-1.65680432869458	-2.01583669669059	0.219526356857039	NS
-0.274613850196097	0.161935500276748	RANDOM1_3_mCMV	-2.05392619134922	-2.32854004154531	0.242903250415121	NS
-0.243519653085671	0.179539650049993	ESR1	-1.05254434284058	-1.29606399592625	0.266213963867231	NS
-0.280724667066125	0.201157508200302	TFCP2L1	-0.412375749301565	-0.69310041636769	0.288325761753767	NS
0.323014976874108	0.187537375424986	STAT1::STAT2	2.50849447181423	2.83150944868834	0.272440963447333	NS
-0.251042328901174	0.187963145324129	GATA1	-2.16170554097398	-2.41274786987516	0.272440963447333	NS
-0.245691582127764	0.258217639771799	NR1D1	-2.01756077832489	-2.26325236045265	0.346979953443355	NS
-0.29266366152747	0.249660308380663	RANDOM2_3_mCMV	-2.19296036423711	-2.48562402576458	0.342349016245132	NS
-0.233035604334474	0.252117492583624	HSF1	-1.62028763929769	-1.85332324363216	0.342349016245132	NS
-0.266699464006976	0.330902184166635	RANDOM3_2_mCMV	-1.63537055840921	-1.90207002241618	0.43557532405608	NS
-0.215845709612931	0.345453271642642	VDR::RXRA	-1.35777465317229	-1.57362036278522	0.450136081231321	NS
-0.241321193330917	0.357614576412669	NFATC1	-1.80132196708393	-2.04264316041485	0.452277258404258	NS
-0.156222392006884	0.376969370624491	NFYA	-0.0630542684266657	-0.21927666043355	0.471680682876243	NS
-0.215740553958913	0.399395147465665	HNF1A	-2.09429425891603	-2.31003481287495	0.490685466886388	NS
-0.215814121147506	0.470102396758769	SOX9	-1.74746508206386	-1.96327920321136	0.541457224838225	NS
0.0908075771537875	0.762674597407385	HNF4A	-1.90548181424561	-1.81467423709182	0.806434615291415	NS
-0.0716565797277461	0.544261786458466	REL	3.39440473542499	3.32274815569724	0.621325402240196	NS
0.0865803666868568	0.758092906403773	IRF1	-1.75473116010547	-1.66815079341861	0.806434615291415	NS
