tf,condition,primetime_logFC,chromVAR_dif,primetime_sign,chromVAR_sign,primetime_pval_adj,chromVAR_pval_adj
CEBPA,Forskolin,-0.0225676684881397,0.01977310054464751,NS,NS,0.927057200252658,0.8263401601446939
CEBPA,Heat_shock,0.336720773496451,-0.02672353527372863,NS,NS,0.0472371404368099,0.3588980210867057
CEBPA,LIF_removal_1h,0.0265126783806111,0.020730998661635254,NS,NS,0.986010299900544,0.9968723756132148
CEBPA,LIF_removal_3h,0.090771216083844,0.01740623217299651,NS,NS,0.927518162808151,0.9999437632103492
CEBPA,LIF_removal_6h,0.120122812762381,0.005232089371903923,NS,NS,0.705556703168765,0.9953257592195215
CEBPA,mNPC_differentiation,0.981742794813418,0.11804957715687128,Upregulated,Upregulated,1.66874667475359e-5,1.6063163611288632e-5
CEBPA,TFCP2L1_knockdown,0.0728381779872334,7.709516792167442e-4,NS,NS,0.848545318525105,0.9915962438189385
CEBPB,Chiron_removal,0.00470682280947144,0.02110267355499732,NS,NS,0.990636637755619,0.5747177918154994
CEBPB,FOXA1_overexpression,0.464339839113154,0.028789003372734087,NS,NS,0.789720059729306,0.5490073352492814
CEBPB,LIF_removal_24h,-0.141983120390307,0.02157343338157403,NS,NS,0.768745598943699,0.3868498871802695
CEBPB,POU5F1_degradation,-0.196122468967471,0.043105456383114235,NS,Upregulated,0.55808781469597,0.02286050310807775
CEBPB,SOX2_degradation,-0.419540194969811,0.02467378930829135,NS,NS,0.102761924022039,0.18195925342822541
CEBPB,Serum,-0.209764293045964,0.021708032753485,NS,NS,0.458827123185263,0.798083717630969
CEBPB,Forskolin,-0.0193498020133498,0.017223442156025115,NS,NS,0.940011051437551,0.8263401601446939
CEBPB,Heat_shock,-0.626378961351586,0.017279801428619346,Downregulated,NS,0.00365609623806083,0.5263889924712435
CEBPB,LIF_removal_1h,-0.173257501667081,0.004852018526787131,NS,NS,0.932201579881635,0.9968723756132148
CEBPB,LIF_removal_3h,-0.0355089711338847,0.02090723682676395,NS,NS,0.971859608156162,0.9999437632103492
CEBPB,LIF_removal_6h,0.0891775153819161,0.01691362254702752,NS,NS,0.789676869403813,0.9953257592195215
CEBPB,mNPC_differentiation,-1.11352548054134,0.2008638689597447,Downregulated,Upregulated,4.6979569799751e-4,1.3291526766838815e-10
CEBPB,TFCP2L1_knockdown,0.0361335771001845,0.015271717672000595,NS,NS,0.945290474301951,0.9505540340835739
CLOCK,Chiron_removal,-1.20436302065945,0.01961624049544828,Downregulated,NS,0.00111693801332066,0.4611933646490217
CLOCK,FOXA1_overexpression,-1.41604149221581,0.0045700252334087855,NS,NS,0.213085877604381,0.9305439347694887
CLOCK,LIF_removal_24h,-0.399384429634678,0.002389287986857122,NS,NS,0.31857278348172,0.9314160942690113
CLOCK,POU5F1_degradation,-0.511538466142,0.009976451725415888,NS,NS,0.0891896047848227,0.5164122579275392
CLOCK,SOX2_degradation,0.447373220594909,-0.0018475067716538039,NS,NS,0.0928322498105826,0.8939920695932821
CLOCK,Serum,-0.378136235812719,-0.0018045726731021343,NS,NS,0.0407434951351652,0.968863848589615
CLOCK,Forskolin,1.24707070207297,0.022662059958409097,Upregulated,NS,8.67975065446629e-8,0.7910054387703824
CLOCK,Heat_shock,-1.11429119532472,0.09418927585032837,Downregulated,Upregulated,3.28218513802538e-6,6.446086569091957e-6
CLOCK,LIF_removal_1h,0.0202993482139658,0.00329894123987952,NS,NS,0.978707603082499,0.9968723756132148
CLOCK,LIF_removal_3h,-0.0259505244628303,0.0015960871874535492,NS,NS,0.971859608156162,0.9999437632103492
CLOCK,LIF_removal_6h,0.0661707498823325,0.005655269284550086,NS,NS,0.795410260872647,0.9953257592195215
CLOCK,mNPC_differentiation,-2.7312519777522,-0.03761798493957413,Downregulated,Downregulated,2.7666716828556896e-11,0.01926427868957824
CLOCK,TFCP2L1_knockdown,-0.171337904488156,0.01297375411400589,NS,NS,0.494098207084412,0.9505540340835739
CREB1,Chiron_removal,-0.066387078543894,-0.004642932685072277,NS,NS,0.908130000950612,0.8758011331211609
CREB1,FOXA1_overexpression,1.0680333356336,0.06816947701385463,NS,NS,0.213085877604381,0.30041556839961325
CREB1,LIF_removal_24h,0.563131689336171,0.02570998663456019,NS,NS,0.0151140820198106,0.400136485161962
CREB1,POU5F1_degradation,0.521575756302145,0.08529309550871347,NS,Upregulated,0.161561530358856,6.40602043009518e-4
CREB1,SOX2_degradation,-0.526328824451998,0.09569570894304308,Downregulated,Upregulated,0.00700113090421863,1.1769884238115437e-4
CREB1,Serum,0.688038200440145,0.017089578852612038,Upregulated,NS,0.00342184283382406,0.8691293340637458
CREB1,Forskolin,1.81815523144497,0.027581506100123065,Upregulated,NS,7.0279107976412e-9,0.7910054387703824
CREB1,Heat_shock,0.1748306317085,0.03649288404434281,NS,NS,0.380190852240883,0.229414367448924
CREB1,LIF_removal_1h,0.405499281923877,-3.348172182683212e-4,NS,NS,0.709892979811474,0.9968723756132148
CREB1,LIF_removal_3h,0.289582903270087,5.340155344449246e-4,NS,NS,0.672542266954426,0.9999437632103492
CREB1,LIF_removal_6h,0.399068600144948,0.009317290166672754,NS,NS,0.438034625924758,0.9953257592195215
CREB1,mNPC_differentiation,-0.483186287822433,0.10341116636535955,NS,Upregulated,0.0518813498397629,1.8566137004544128e-4
CREB1,TFCP2L1_knockdown,0.376599826433912,0.027708557466273768,NS,NS,0.332453983409833,0.9505540340835739
E2F1,Chiron_removal,0.361757939141423,0.016266230801507926,NS,NS,0.297047016807896,0.5928680343947624
E2F1,FOXA1_overexpression,-1.03702556049333,0.03243641781118041,NS,NS,0.086936499032718,0.398523915209194
E2F1,LIF_removal_24h,0.176964677910692,0.035679058734350955,NS,NS,0.682813233196246,0.061829772043449846
E2F1,POU5F1_degradation,-1.24806400229095,0.03793205795304688,Downregulated,Upregulated,1.10645406465621e-6,0.017277399121134178
E2F1,SOX2_degradation,-1.7313269042549,0.025700854886926527,Downregulated,NS,3.01574995380698e-10,0.08514710781240391
E2F1,Serum,-0.416444876811496,0.004033999781170361,Downregulated,NS,0.0032788681912037,0.9620263281339205
E2F1,Forskolin,-0.527430162038316,1.2818403090700953e-5,Downregulated,NS,0.00171011653668499,0.9993433391877434
E2F1,Heat_shock,-0.73994698075782706,0.015628935477297257,Downregulated,NS,2.11892023152349e-5,0.4706661046308657
E2F1,LIF_removal_1h,-0.0601018829927322,-0.009838274404058097,NS,NS,0.932201579881635,0.9968723756132148
E2F1,LIF_removal_3h,-0.0991715479983155,-0.0019975105257986313,NS,NS,0.86802305667349,0.9999437632103492
E2F1,LIF_removal_6h,0.0466339782497785,-3.009282693125087e-4,NS,NS,0.811234350158928,0.9953257592195215
