tf,condition,primetime_logFC,chromVAR_dif,tobias_logFC,primetime_sign,chromVAR_sign,tobias_sign,primetime_pval_adj,chromVAR_pval_adj,tobias_pvalue
TFAP2A,FOXA1_overexpression,-0.430810921892211,0.015774361045741314,-0.03035,NS,NS,Downregulated,0.92869572764428,0.7117911894224829,2.6914399999999997e-20
TFAP2A,LIF_removal_24h,0.190082548796161,-0.02702683029706486,-0.13083,NS,NS,Downregulated,0.826324614279522,0.1731041525083112,5.769859999999999e-109
TFAP2A,POU5F1_degradation,0.358313743671077,0.08215482271197498,0.46394,NS,Upregulated,NS,0.581505840282649,1.0406500647112954e-5,1.6707499999999998e-165
TFAP2A,SOX2_degradation,-0.234028379249181,-0.008981699594143362,0.10093,NS,NS,NS,0.709825190908595,0.5744292533110578,3.2009899999999998e-96
TFAP2A,Serum,-0.152747827855487,-0.010435142115898266,0.05549,NS,NS,NS,0.576322519607054,0.8708738109832502,1.4628599999999998e-66
TFAP2A,Forskolin,-0.185785494858701,-0.0016563895254731453,0.10176,NS,NS,NS,0.5922124178643,0.9982454964048935,6.814449999999999e-86
TFAP2A,Heat_shock,0.143930914782434,0.02237125928667258,0.12389,NS,NS,NS,0.426608550637974,0.27886790923652327,4.14225e-99
TFAP2A,LIF_removal_1h,0.0983908902680911,-6.40851526984565e-5,0.04408,NS,NS,NS,0.932201579881635,0.9967208797546465,6.31217e-50
TFAP2A,LIF_removal_3h,0.0562834826204842,0.0033207768285285974,0.07083,NS,NS,NS,0.948797978487585,0.9990609479484573,3.67695e-71
TFAP2A,LIF_removal_6h,0.122277908311111,-0.0072421532559503645,0.00432,NS,NS,NS,0.749257493520019,0.9972264321673686,0.0296847
TFAP2A,mNPC_differentiation,-0.0264666830053169,-0.002233735957792405,0.02015,NS,NS,NS,0.923396397860342,0.9041984630641725,5.96018e-37
TFAP2A,TFCP2L1_knockdown,0.00412575376318018,-8.939198949599204e-4,0.01635,NS,NS,NS,0.995887257620177,0.9844654444247022,2.06146e-26
TFAP2A,Forskolin_stimulation_NPC_24h,-0.0161844577012958,-0.0035086935713838988,-0.03519,NS,NS,Downregulated,0.967767970609754,0.9667729220897776,1.117e-35
TFAP2A,Forskolin_stimulation_NPC_4h,-0.0689934474444646,-0.006975456220454049,0.01548,NS,NS,NS,0.725365828791721,0.9932348525597723,1.7879e-12
TFAP2A,Heat_shock_NPC,0.334731823378477,0.010338641502876915,-0.13597,NS,NS,Downregulated,0.120594136324482,0.5265583162676437,5.0503e-95
TFCP2L1,Chiron_removal,0.0705978772636923,-0.08228035226418001,-0.29717,NS,Downregulated,Downregulated,0.924470134583865,4.804198475699021e-7,9.624929999999999e-127
TFCP2L1,FOXA1_overexpression,-1.44786512319763,-0.029018310672265943,0.02155,NS,NS,NS,0.777623211132242,0.2866404198079901,2.65816e-7
TFCP2L1,LIF_removal_24h,-0.246130999752674,-0.06229400154420524,-0.23323,NS,Downregulated,Downregulated,0.785376171246892,5.512635595181867e-4,1.14723e-121
TFCP2L1,POU5F1_degradation,-0.545839316278482,-0.029721215557516743,-0.12461,NS,Downregulated,Downregulated,0.580987176146907,0.02213550050190645,1.56858e-90
TFCP2L1,SOX2_degradation,-0.393135436447547,0.09523039272160369,0.19618,NS,Upregulated,NS,0.449560734760432,1.8727145247182732e-8,3.574509999999999e-116
TFCP2L1,Serum,-0.158027989309769,-0.031093783460313378,-0.07475,NS,NS,Downregulated,0.567501281438118,0.17846571111885282,4.06603e-68
TFCP2L1,Forskolin,-0.236122148038902,0.023601382140136185,0.04825,NS,NS,NS,0.410277691344872,0.67589823935099,3.4099999999999998e-43
TFCP2L1,Heat_shock,-0.811022849231937,-0.13237756798689138,-0.33127,Downregulated,Downregulated,Downregulated,4.731667977112e-4,1.6907035497170565e-9,9.21331e-124
TFCP2L1,LIF_removal_1h,-0.393701810081147,0.005994409376150069,-0.00989,NS,NS,Downregulated,0.923016082670136,0.9967208797546465,3.1983e-4
TFCP2L1,LIF_removal_3h,-0.155173264235078,-9.299772729226552e-5,-0.01063,NS,NS,Downregulated,0.86802305667349,0.9990609479484573,2.54587e-9
TFCP2L1,LIF_removal_6h,-0.0929078654524608,-0.003340491233366204,-0.04113,NS,NS,Downregulated,0.789676869403813,0.9972264321673686,5.72633e-40
TFCP2L1,mNPC_differentiation,-2.42599330831023,-0.14924459103775328,-0.34018,Downregulated,Downregulated,Downregulated,1.8829101844133e-9,2.4662269955645768e-11,3.76134e-134
TFCP2L1,TFCP2L1_knockdown,-1.39610185063586,-0.10364439875463001,-0.35757,Downregulated,Downregulated,Downregulated,1.95123892302064e-6,8.311007267971029e-7,2.56826e-125
TFCP2L1,Forskolin_stimulation_NPC_24h,-0.177959276463256,0.014479102081884188,0.06047,NS,NS,NS,0.763458905507052,0.9667729220897776,3.2294299999999996e-40
TFCP2L1,Forskolin_stimulation_NPC_4h,-0.15728550354504,0.006985296998523738,0.00534,NS,NS,NS,0.383299447820336,0.9932348525597723,0.302594
TFCP2L1,Heat_shock_NPC,-0.0400476898877533,-0.021102765778984067,-0.0854,NS,NS,Downregulated,0.894124115945293,0.5210567135422827,1.16922e-57
