logFC	P.Value	tf	DMSO	FBS	p_adjusted	sig
-0.0261143951246833	0.903383899918894	RARA	-2.51301727211918	-2.53913166724386	0.947451407232011	NS
0.0472001006811827	0.763823425008917	RANDOM2_2_minP	-1.28910583054095	-1.24190572985977	0.866828405212337	NS
0.0169771826184666	0.913218282749747	CEBPA	-1.24590238123069	-1.22892519861222	0.950041600602559	NS
-0.0297961976857032	0.877454237783671	OTX1	-1.00172901550062	-1.03152521318633	0.940140125470473	NS
-0.00937745067074491	0.949443104038054	ZFX	-0.497164786282805	-0.50654223695355	0.976831826666513	NS
-0.0340972705041988	0.820051794162165	NFIA	-1.34257204120375	-1.37666931170795	0.909518325976253	NS
-0.00192051973452293	0.988361795305134	RANDOM2_3_minP	-1.20563732369642	-1.20755784343094	0.998980054615421	NS
-0.00809156560090521	0.95411480744171	PGR	-0.948324344641204	-0.956415910242109	0.976831826666513	NS
2.64537807138255	1.09617019963219e-13	EGR1	-1.78929027949128	0.856087791891274	1.41405955752552e-11	Upregulated
1.49624158115953	6.4559621298338e-13	FOS::JUN	0.592304786776169	2.08854636793569	4.1640955737428e-11	Upregulated
1.38671225841355	1.09099368517234e-08	SRF	-0.973850389817398	0.412861868596154	4.50373301956259e-07	Upregulated
-0.941905138118714	1.39650636265507e-08	NR4A2::RXRA	0.772818176503944	-0.16908696161477	4.50373301956259e-07	Downregulated
0.89835091563775	5.65323964032965e-08	TEAD1	1.18070906433969	2.07905997997744	1.41111044104366e-06	Upregulated
1.36967768825018	6.56330437694725e-08	REL	1.3181753996562	2.68785308790638	1.41111044104366e-06	Upregulated
-1.95012383219417	1.7573326860933e-07	TCF7	1.35328991906512	-0.596833913129043	2.83369895632544e-06	Downregulated
-0.537746732045382	1.25730941024239e-06	RARA:RXRA	-0.265482013340099	-0.803228745385482	1.8021434880141e-05	Downregulated
0.991160961409231	2.17535703940736e-06	WT1	-1.328004170923	-0.336843209513767	2.8062105808355e-05	Upregulated
-0.433673113111727	3.36974968645541e-05	NFYA	0.532093201583754	0.0984200884720268	0.000362248091293957	Downregulated
-0.488634124234512	4.54723054012306e-05	SREBF1	-2.26272638929362	-2.75136051352814	0.000451225184366057	Downregulated
-0.463315761725352	7.74606554006744e-05	MYC	-0.204213477287578	-0.667529239012931	0.000713744610477642	Downregulated
-0.868289404245342	0.000108056584991234	NR1H2	1.29033632746487	0.422046923219525	0.00092928663092461	Downregulated
-0.455883794432146	0.000130708261809185	SOX2	0.703825246643842	0.247941452211696	0.00105383536083656	Downregulated
-0.405059582033127	0.000266872087419025	HIF1A	-0.976802636103102	-1.38186221813623	0.00202508819276789	Downregulated
-0.375806294045676	0.000432567749282852	MAF::NFE2	1.9005733086852	1.52476701463953	0.00310006886986044	Downregulated
-0.416444876811496	0.000482934074673413	E2F1	1.01404009668204	0.597595219870548	0.0032788681912037	Downregulated
-0.523270765867856	0.000720246445065083	GATA4	2.24350452718973	1.72023376132188	0.00442437101968551	Downregulated
-0.411716378889755	0.000951949690082578	MTF1	2.36586662339309	1.95415024450333	0.00558188681912057	Downregulated
-0.520229427520908	0.00102025416521218	NRF1	2.26229309171342	1.74206366419252	0.00572229510053789	Downregulated
-0.257116843454556	0.0061817176729606	NR4A1	-1.3651732257965	-1.62229006925106	0.0295348733263673	NS
-0.33759657816589	0.00758989624434431	STAT4	-0.0430681867922998	-0.38066476495819	0.0349677362685863	NS
-0.378136235812719	0.00915939037922319	CLOCK	1.21537790759185	0.837241671779128	0.0407434951351652	NS
-0.245055916618128	0.0103400777947169	RANDOM1_3_mCMV	-2.1267437797677	-2.37179969638583	0.0444623345172826	NS
-0.37779260068403	0.0110854100251893	NR1I2	-1.58550524769513	-1.96329784837916	0.0461296094596588	NS
-0.226329464378411	0.0133071420169268	KLF4	0.135134918095383	-0.0911945462830279	0.0520188278843501	NS
-0.332002997696365	0.0141838112350327	NR1I3	-1.92328083972973	-2.2552838374261	0.0538150485093889	NS
-0.247089032103281	0.0193927092997085	FOSL1	-0.998139880949494	-1.24522891305277	0.0694905416572889	NS
-0.401052192783625	0.0212479325300996	POU5F1	-0.38317817325157	-0.784230366035195	0.074080629631969	NS
-0.353925117251517	0.0286505339749574	SMAD2::SMAD3::SMAD4	-1.24469961296871	-1.59862473022023	0.0947671508402437	NS
-0.286820015778444	0.0286370034206261	NR3C1	-2.77926469757419	-3.06608471335263	0.0947671508402437	NS
-0.273838882350739	0.0455568766661949	STAT1::STAT2	-2.09806661043081	-2.37190549278155	0.140201506367517	NS
-0.267685756605911	0.0506292888703225	GATA1	-2.48063641800202	-2.74832217460793	0.151887866610967	NS
-0.183808982935703	0.064902375968591	NR1H4::RXRA	-0.652211706980216	-0.836020689915919	0.18209618421468	NS
-0.253681144872118	0.0728910008890874	VDR::RXRA	-1.85232471668686	-2.10600586155898	0.195894564889422	NS
-0.219332033897067	0.0769445752134584	TFEB	1.52146283856986	1.30213080467279	0.202568371480329	NS
-0.23537070898099	0.0857400900229137	RANDOM1_1_mCMV	-2.43952051207849	-2.67489122105948	0.215053884654833	NS
-0.239862182597834	0.0814915314097494	RANDOM2_2_mCMV	-2.30457086019782	-2.54443304279565	0.210248151037154	NS
-0.278201607391952	0.0907761664219268	AHR::ARNT	-1.32485461550009	-1.60305622289204	0.220945763555256	NS
-0.218472902687703	0.138566950517224	HNF4A	-0.664804813282546	-0.883277715970249	0.313598888012664	NS
