logFC	P.Value	tf	DMSO	NPC	p_adjusted	sig
-2.84593503033239	1.38127016876475e-15	SOX2	0.70317133066872	-2.14276369966367	4.45459629426633e-14	Downregulated
-3.20806927429423	1.07518171647764e-14	E2F1	1.0294742356481	-2.17859503864613	1.96439962052076e-13	Downregulated
-2.81507747133809	1.21823232280357e-14	MEF2A	0.620681131870389	-2.1943963394677	1.96439962052076e-13	Downregulated
-3.05703140759948	3.01578486323576e-14	TEAD1	1.18026037293469	-1.87677103466479	4.27874682571484e-13	Downregulated
-3.04249554337721	3.31685800443011e-14	GATA4	2.26865098584602	-0.773844557531187	4.27874682571484e-13	Downregulated
-2.19717344414463	9.31929407964982e-13	KLF4	0.134912161090186	-2.06226128305444	1.09289903297712e-11	Downregulated
-2.7312519777522	2.78811875016465e-12	CLOCK	1.22568909635604	-1.50556288139616	2.76667168285569e-11	Downregulated
-2.66603344568999	1.02953309904929e-11	NR4A2::RXRA	0.782494159664525	-1.88353928602547	9.48641212695413e-11	Downregulated
-2.87350261702411	1.83217686986579e-11	NR1H2	1.25077441393739	-1.62272820308671	1.57567210808458e-10	Downregulated
-1.77883271816159	7.02059563478569e-11	STAT4	-0.0506721036390777	-1.82950482180067	5.66035523054596e-10	Downregulated
-1.74648220106218	9.75643278765064e-11	MTF1	2.36194912683235	0.615466925770172	7.40341076239372e-10	Downregulated
-2.42599330831023	2.77327856619013e-10	TFCP2L1	1.63305710639389	-0.792936201916338	1.8829101844133e-09	Downregulated
-1.41907120146537	2.38383931795837e-10	NR1H4::RXRA	-0.650417554557121	-2.06948875602249	1.70841817787017e-09	Downregulated
-3.2424817686359	3.78091451405183e-09	TCF7	1.3466025820122	-1.89587918662371	2.32256177291755e-08	Downregulated
-1.29912207501425	9.53715990941109e-09	HIF1A	-0.980010304771858	-2.27913237978611	5.34910273180013e-08	Downregulated
1.81350138121536	1.40846607236621e-08	REL	1.31617836031241	3.12967974152777	7.57050513896838e-08	Upregulated
-0.9703318476918	3.50700286568756e-08	NR4A1	-1.36276917163581	-2.33310101932761	1.45936570862482e-07	Downregulated
-2.29514021826966	4.62606577501079e-08	TP53	2.13830300112258	-0.15683721714708	1.86488276555122e-07	Downregulated
1.27704025390517	6.15932800516906e-08	NRF1	2.25219672085191	3.52923697475708	2.40773731111154e-07	Upregulated
-1.08681250507348	2.37435804669276e-07	NFYA	0.531221388420464	-0.555591116653016	8.50811633398238e-07	Downregulated
-1.25313557371431	5.19570941858858e-07	HNF4A	-0.656468049884094	-1.9096036235984	1.71858080768699e-06	Downregulated
0.910007187572099	4.24681073720593e-07	MAF::NFE2	1.90795346019369	2.81796064776579	1.44168048710412e-06	Upregulated
-1.02147806196781	5.50079547818701e-07	MYC	-0.19644665492759	-1.2179247168954	1.77400654171531e-06	Downregulated
-2.07212573403066	1.1455363042147e-06	HNF1A	-0.341723600400079	-2.41384933443074	3.60424837179747e-06	Downregulated
-1.22451096959492	8.19016524634984e-06	POU5F1	-0.390053289260241	-1.61456425885516	2.34784737062029e-05	Downregulated
-1.04387673383936	2.81094274171529e-05	SMAD2::SMAD3::SMAD4	-1.24071781128674	-2.2845945451261	7.55440861835983e-05	Downregulated
-0.880360064330613	8.08072720243566e-05	RARA:RXRA	-0.265658922645015	-1.14601898697563	0.00020848276182284	Downregulated
-1.11352548054134	0.000189375010045509	CEBPB	0.128954488282354	-0.984570992258983	0.000469795697997512	Downregulated
-0.465279726353793	0.00553600500130569	TFEB	1.52319024655307	1.05791052019928	0.0111585100807568	NS
0.647208302306004	0.00721180797889949	ESR1	-1.80616900665155	-1.15896070434555	0.013885421332508	NS
0.657379786399604	0.00928649586183372	RBPJ	-2.24249779015584	-1.58511800375624	0.0168726474109373	NS
0.541828125060667	0.0116624513584739	IRF1	-2.01373306656677	-1.4719049415061	0.020895225350599	NS
-0.581498676885289	0.020758066144445	NR5A2	-1.38022801278119	-1.96172668966648	0.0343306478542744	NS
-0.297635544655586	0.0182401034709313	XBP1	-0.854052404857469	-1.15168794951305	0.0305580954253265	NS
-0.31732267062945	0.0306240223947899	RANDOM1_3_mCMV	-2.12532761207418	-2.44265028270363	0.0493812361115987	NS
0.277422742745832	0.036588786358494	SREBF1	-2.27341261519051	-1.99598987244468	0.0568669089186233	NS
-0.310015456048974	0.0440321811796912	FOSL1	-0.995020787902591	-1.30503624395156	0.065289096231956	NS
-0.393887043948326	0.0400336852377947	EGR1	-1.7800366029946	-2.17392364694292	0.060757004655006	NS
-0.417664327076316	0.052580576709292	RANDOM3_3_mCMV	-1.90666251833611	-2.32432684541242	0.0762122965786368	NS
0.266860832328691	0.0746113233429398	FOS::JUN	0.59350894450443	0.860369776833121	0.104618051209122	NS
0.342392251679481	0.0954931749061819	HSF1	-2.3113502657482	-1.96895801406872	0.129669679609447	NS
-0.252589180469629	0.083331860931069	NR1I3	-1.92644423539174	-2.17903341586137	0.115589355485031	NS
0.348270572328854	0.135031602854272	NR1D1	-2.65473732162325	-2.3064667492944	0.17595027038587	NS
-0.351498079180657	0.125061327928369	RANDOM2_3_mCMV	-2.31674722386494	-2.6682453030456	0.166318673224325	NS
-0.246900521684351	0.129132911437164	NR1I2	-1.58597046040581	-1.83287098209016	0.16998107729994	NS
0.277075677269335	0.185557077661739	RANDOM2_1_mCMV	-2.43678141184347	-2.15970573457413	0.234675127631022	NS
0.259889342522338	0.190113349569225	SOX9	-2.29512572792004	-2.0352363853977	0.235813673984905	NS
-0.23447416577788	0.193850274373099	RANDOM3_1_mCMV	-1.84588655231495	-2.08036071809283	0.238158908515521	NS
0.198287218309101	0.174547195677557	THRA	-1.74181914103546	-1.54353192272636	0.222936517251534	NS
-0.257253514240274	0.188137365839716	WT1	-1.32770083997216	-1.58495435421243	0.235628351391489	NS
-0.227958206389658	0.20085199322901	GLI1	-2.25015878599472	-2.47811699238438	0.244433086099456	NS
-0.215376817243776	0.259808089192188	AHR::ARNT	-1.32538396121658	-1.54076077846036	0.310326328757336	NS
-0.220418068482741	0.329682296683391	RANDOM3_2_mCMV	-1.649362814477	-1.86978088295974	0.373061546246995	NS
-0.251181475342328	0.299367088809041	IRX3	-0.508415195947566	-0.759596671289894	0.34823549928981	NS
0.229478511030116	0.328955915518207	RORA	-2.11936644052639	-1.88988792949628	0.373061546246995	NS
0.117661101046413	0.593970241280335	RANDOM1_1_mCMV	-2.45146031805782	-2.33379921701141	0.63851800937636	NS
0.172875132129246	0.486047994590412	NFATC1	-2.13083723369218	-1.95796210156294	0.540518890535889	NS
-0.111058338959621	0.46857534304663	GATA1	-2.47067254698527	-2.5817308859449	0.525619297852306	NS
0.0862254960552277	0.574512546248204	RANDOM2_2_mCMV	-2.30757590267031	-2.22135040661508	0.622790911479146	NS
0.104253494358029	0.545091306661996	SRF	-0.983286416317237	-0.879032921959208	0.595904903045741	NS
0.0772263151260761	0.610252546003292	NR3C1	-2.78114285749532	-2.70391654236924	0.650599821772105	NS
0.063148137758154	0.676664685574524	VDR::RXRA	-1.85896493045401	-1.79581679269586	0.715489708517325	NS
0.0454670288345317	0.842234611641483	PPARG::RXRA	-2.09268909804861	-2.04722206921408	0.862287816680566	NS
0.0121048593858358	0.946843012128578	RANDOM1_2_mCMV	-1.91721761010624	-1.9051127507204	0.946843012128578	NS
-0.0264666830053169	0.912597536729053	TFAP2A	-2.05609855627595	-2.08256523928127	0.923396397860342	NS
-0.945930362918825	1.83405535496866e-08	SP1	1.41568528545863	0.469754922539807	9.027271530591e-08	Downregulated
1.61751658886359	3.20745599679241e-08	RFX1	-0.737183280450274	0.880333308413311	1.37920607862074e-07	Upregulated
1.16590504408089	2.24180951573234e-07	RANDOM2_1_Random	-1.43662370629758	-0.270718662216695	8.2626693579849e-07	Upregulated
1.24156789674338	8.14505473831903e-06	RANDOM1_1_Random	-1.80620213387573	-0.564634237132353	2.34784737062029e-05	Upregulated
1.0395435925083	0.000199489316800182	FOXA1	-1.95224542984983	-0.912701837341522	0.000485549469192895	Upregulated
0.607304115920607	0.00152357162151648	RANDOM3_1_Random	-0.495712359653621	0.111591756266986	0.00338863343406252	Upregulated
0.493139856384776	0.0333883421383243	NR3C2	-0.729687751574656	-0.23654789518988	0.0525255626322419	NS
-3.10405811402216	9.66102350832763e-15	STAT3	1.85464156062067	-1.2494165534015	1.96439962052076e-13	Downregulated
-3.68711304140065	7.62766558423358e-10	TCF7L2	0.905333502742787	-2.78177953865787	4.91984430183066e-09	Downregulated
2.07727278212223	1.95940777408177e-08	IRF3	0.943565794289946	3.02083857641218	9.027271530591e-08	Upregulated
-1.333135786001	2.36571713635396e-08	ESRRB	-1.50898854869214	-2.84212433469315	1.05233624341262e-07	Downregulated
2.00521962292377	1.38590792625375e-06	NFKB1	-0.731993429747807	1.27322619317596	4.25671720206509e-06	Upregulated
-1.49261845135619	1.19982605963646e-05	SMAD4	-1.50900739704744	-3.00162584840362	3.29313961049156e-05	Downregulated
0.688803926836293	0.000551258112917345	ELK1	2.01239442996057	2.70119835679686	0.00129295084666068	Upregulated
-0.650312137697202	0.00389426760724819	RANDOM3_1_hBGm	-1.76819716781644	-2.41850930551364	0.00810258905379058	Downregulated
-0.700314189943958	0.00678645167978047	GBX2	-2.16091663387714	-2.8612308238211	0.0132644282832073	NS
-0.515460315197301	0.0058937147744701	PAX6	-2.25673532681642	-2.77219564201372	0.0116967570139484	NS
-0.576851941728041	0.00761176949491652	RANDOM3_3_hBGm	-1.87779740752465	-2.45464934925269	0.0144399744830034	NS
