logFC	P.Value	tf	Norm	HS	p_adjusted	sig
-0.326836770663753	0.0693622324381801	NR4A2::RXRA	-2.0611296725599	-2.38796644322366	0.122571616226373	NS
-0.315306779385917	0.0684472317295293	TEAD1	-2.02266632551991	-2.33797310490583	0.122571616226373	NS
-0.333787271755122	0.0775797285586592	SMAD2::SMAD3::SMAD4	-2.39568683238852	-2.72947410414364	0.133437133120894	NS
-0.30361497977346	0.0820653522762097	RANDOM2_3_mCMV	-2.19717913094105	-2.50079411071451	0.138754893016984	NS
0.306475434240912	0.082822688079905	SRF	-1.91850543899446	-1.61203000475354	0.138754893016984	NS
-0.308221172737178	0.100483378946181	NR1I2	-1.96238440030742	-2.2706055730446	0.164080454228574	NS
-0.311478514938277	0.10235146528779	POU5F1::SOX2	-1.36206822034441	-1.67354673528268	0.165041737776562	NS
0.289606816610426	0.109616437718951	HNF1A	-2.26943215003236	-1.97982533342193	0.170367716454755	NS
-0.256375012645567	0.156333740261653	POU5F1	-1.47818560734676	-1.73456061999233	0.229171051065377	NS
-0.242943526203811	0.162767546507642	RANDOM2_2_mCMV	-2.2249695720331	-2.46791309823691	0.235921499994222	NS
-0.238923673882101	0.166549945831416	NR4A1	-2.16254418667992	-2.40146786056202	0.236701586225356	NS
-0.234394117887267	0.166975537569825	CLOCK	-2.03572708122555	-2.27012119911282	0.236701586225356	NS
0.178188462804877	0.30813593782938	ESRRB	-2.85661829256277	-2.67842982975789	0.405607509999899	NS
0.175710132957108	0.319838090680175	PPARG::RXRA	-2.17160316926153	-1.99589303630442	0.416758724219621	NS
-0.173180353694871	0.32538672827138	RARA:RXRA	-2.12334579338537	-2.29652614708024	0.41974887947008	NS
-0.167035841193401	0.40819806441623	HNF4A	-2.09346646218322	-2.26050230337662	0.50632259913167	NS
-0.154230631645614	0.377003427140159	RANDOM1_3_mCMV	-2.21435182346112	-2.36858245510674	0.47563992954114	NS
-0.153692720278521	0.379774517385561	NR1H2	-1.76430630525638	-1.9179990255349	0.47563992954114	NS
-0.128665595980681	0.455671221546876	RORA	-2.19179037157293	-2.32045596755361	0.559824643614733	NS
0.121894797036667	0.481326350441952	NR3C1	-2.44021787656097	-2.31832307952431	0.585765086858602	NS
-0.123623180833318	0.506389913241434	NR1H4::RXRA	-2.25866584730144	-2.38228902813476	0.604854618593935	NS
-0.121298539623687	0.49137090873027	ZFX	-2.21914586388807	-2.34044440351175	0.5924004413664	NS
0.107129227891184	0.543273242364348	RBPJ	-2.32544703481351	-2.21831780692233	0.637111347863644	NS
0.0895611916497167	0.600587885998705	RANDOM1_1_mCMV	-2.46167575797981	-2.3721145663301	0.697980516160658	NS
-0.0831672866829748	0.639251890938234	ESR1	-2.10060963221271	-2.18377691889569	0.736281195812787	NS
-0.0820396471411406	0.645834139625695	VDR::RXRA	-2.08540482046188	-2.16744446760302	0.737279681519599	NS
0.0711429582968149	0.687615601042731	KLF4	-2.38703890500697	-2.31589594671015	0.771325326387063	NS
