logFC	P.Value	tf	DMSO	FK	p_adjusted	sig
0.329945320102736	0.195807659160014	RORA	-1.87867405974601	-1.54872873964327	0.322636845644253	NS
0.245642187445669	0.197583804696868	NR3C1	-2.70982127532031	-2.46417908787464	0.322636845644253	NS
0.300244366905707	0.219063934222557	RANDOM3_3_mCMV	-2.3364173925084	-2.03617302560269	0.353240593933872	NS
-0.103881167872101	0.326041484419006	REL	3.13143569642355	3.02755452855144	0.500706565357759	NS
0.172161775251129	0.376329178717059	RANDOM1_2_mCMV	-1.929557588673	-1.75739581342187	0.564493768075588	NS
0.204175317669799	0.437036077058805	RANDOM1_1_mCMV	-2.33412534054654	-2.12995002287674	0.622108798986605	NS
0.140130902499448	0.395497126642863	VDR::RXRA	-1.78797858763248	-1.64784768513303	0.57324864423516	NS
0.111427571768055	0.538550896264466	HNF4A	-1.90930753038106	-1.79787995861301	0.694730656181161	NS
0.142530871446958	0.371560626509042	IRF1	-1.47121060411842	-1.32867973267146	0.563897891996075	NS
-0.116642281291054	0.529435279678334	TFCP2L1	-0.785471842306663	-0.902114123597717	0.689910640218504	NS
-0.119470238370331	0.572768576610485	TCF7	-1.91620803900593	-2.03567827737627	0.70738255740012	NS
0.16319466178397	0.438851943471171	IRX3	-0.752150447121872	-0.588955785337901	0.622108798986605	NS
0.174596953287391	0.450452462656473	RBPJ	-1.56740416802836	-1.39280721474097	0.630746402277594	NS
0.112592424754272	0.482317373180171	SOX2	-2.1352492107247	-2.02265678597043	0.654936222528863	NS
-0.154657966141314	0.529466305283969	NR5A2	-1.93705059066405	-2.09170855680537	0.689910640218504	NS
-0.086521449999757	0.564197052408797	RANDOM2_1_mCMV	-2.15793508126886	-2.24445653126862	0.706615725832377	NS
0.0696191603404944	0.586796450676893	RANDOM2_2_mCMV	-2.21338712786588	-2.14376796752539	0.714120208842634	NS
-0.101675437551617	0.5757765002094	MYC	-1.21655211117155	-1.31822754872317	0.70738255740012	NS
0.109517335539743	0.671397740735872	NR4A2::RXRA	-1.85530103232134	-1.74578369678159	0.773306326383281	NS
0.122074974866028	0.625460824433717	RARA:RXRA	-1.12792800757947	-1.00585303271344	0.747078206962495	NS
0.120763512840817	0.642861533895822	SOX9	-2.04408001373252	-1.92331650089171	0.760622074800501	NS
-0.0766931012480298	0.7176876905816	CLOCK	-1.49683654904102	-1.57352965028905	0.793249508119815	NS
0.0692995374197688	0.74588118129615	TP53	-0.164884401889046	-0.0955848644692776	0.808560272161373	NS
0.0691265401014059	0.772195323234175	TEAD1	-1.84973158414596	-1.78060504404455	0.830109972476738	NS
-0.00889288399255085	0.974465844879729	TFAP2A	-2.12974857426006	-2.13864145825261	0.974465844879729	NS
-0.0389776116754896	0.821832986409272	MEF2A	-2.18594380177915	-2.22492141345464	0.876169051626414	NS
-0.0305240795917711	0.862435633159457	SMAD2::SMAD3::SMAD4	-2.28950297246272	-2.32002705205449	0.911919644898115	NS
0.0545309768933513	0.73478940564029	NR1I2	-1.82638209778216	-1.77185112088881	0.803286723115232	NS
-0.00767023560980618	0.960862765193988	HSF1	-1.966248413174	-1.97391864878381	0.968369505547067	NS
0.0183487632091817	0.915525596388023	NFYA	-0.545439683470745	-0.527090920261563	0.944822415472439	NS
0.696360870424108	0.0184166259312897	FOXA1	-0.918314363307551	-0.221953492883442	0.0505477605348163	NS
-0.329575168106836	0.0245734170567891	SP1	0.456626449242591	0.127051281135755	0.0660410583401206	NS
0.365494077045433	0.0510292231682842	RANDOM3_1_Random	0.0742387773540662	0.439732854399499	0.115487189275591	NS
0.488058530883465	0.0987359766890053	RFX1	0.953029570574424	1.44108810145789	0.199014703013776	NS
0.421157272987447	0.147006314211529	RANDOM1_1_Random	-0.642194213281784	-0.221036940294337	0.269614585822008	NS
-0.0462449613165921	0.876919969200013	NR3C2	-0.246693974520481	-0.292938935837073	0.919696553063428	NS
0.0835347737163419	0.697101303209651	RANDOM2_1_Random	-0.268661186165629	-0.185126412449287	0.781965809687348	NS
4.74137513870549	1.39392008593977e-17	CREB1	-1.75737367873204	2.98400145997344	1.7981569108623e-15	Upregulated
-1.79280258808257	5.57873818549824e-12	ELK1	2.72779318804852	0.934990599965953	2.39885741976424e-10	Downregulated
-1.74764637582348	9.55470036125112e-10	IRF3	3.02161438773113	1.27396801190766	2.46511269320279e-08	Downregulated
-1.55179713439621	1.2446203696852e-09	NFE2L2	2.47327356991413	0.921476435517914	2.67593379482317e-08	Downregulated
-1.23403076343818	1.2036619153213e-07	ESRRB	-2.84181949396663	-4.07585025740481	1.55272387076448e-06	Downregulated
-1.14415802530737	5.64254082762858e-07	NFKB1	1.29191167648851	0.147753651181133	6.06573138970072e-06	Downregulated
-0.987889784095023	1.69207368483218e-06	RANDOM3_3_hBGm	-2.48880376035829	-3.47669354445331	1.55912503816679e-05	Downregulated
-0.952166302924699	1.38375710855409e-05	NEUROG2	-3.05839730755446	-4.01056361047916	0.000119003111335651	Downregulated
-0.861417347702596	2.58970976331484e-05	TCF7L2	-2.80421149046924	-3.66562883817184	0.000208795349667259	Downregulated
-1.14577512883952	4.12655774515352e-05	SMAD4	-3.0013924848868	-4.14716761372631	0.000313132911249885	Downregulated
-0.999429329760088	6.06927108864981e-05	RANDOM3_1_hBGm	-2.42744955012081	-3.4268788798809	0.000434964428019903	Downregulated
-0.898786229688748	9.03528805330768e-05	RANDOM2_1_hBGm	-3.08682059358784	-3.98560682327658	0.000613448504671943	Downregulated
-0.701703067838502	0.000247238848198512	STAT3	-1.24246945359002	-1.94417252142853	0.001518752924648	Downregulated
-0.750075784067348	0.000379572494925046	RANDOM3_2_hBGm	-2.51479406664451	-3.26486985071186	0.00212423018976742	Downregulated
-0.78397932472922	0.000891471242285434	RANDOM1_1_hBGm	-3.04179350731996	-3.82577283204918	0.00410713536624361	Downregulated
-0.856086844402343	0.00106237822943975	RANDOM2_2_hBGm	-3.0292764022678	-3.88536324667014	0.00472575143440438	Downregulated
-0.631423276681052	0.00135770607698723	GBX2	-2.87754934386866	-3.50897262054971	0.00578713653557122	Downregulated
-0.586400749437445	0.00202656874130275	PAX6	-2.76291151597541	-3.34931226541286	0.00768904022435455	Downregulated
-0.748920852619967	0.00292382332509956	RANDOM2_3_hBGm	-3.15852339608771	-3.90744424870768	0.0104770335816068	NS
-0.636201631480891	0.0058617554633811	RANDOM1_3_hBGm	-3.3077784078141	-3.94398003929499	0.0184430842628332	NS
-0.498723388656187	0.00794042492852875	RANDOM1_2_hBGm	-2.92235722772762	-3.42108061638381	0.0243884479947669	NS
-0.656130421569035	0.0154019658956946	HOMEZ	-3.4777273722828	-4.13385779385184	0.0451557636487411	NS
