mES_2i_LIF_r3	mES_2i_LIF_r2	mES_2i_LIF_r1	mES_2i_r1	mES_2i_r2	mES_2i_r3
76	96	77	84	78	46
54	47	57	55	50	29
87	95	131	101	98	59
103	104	119	132	105	83
146	167	186	184	171	121
1002	1075	982	1125	1054	855
712	962	929	920	859	570
192	277	275	203	258	157
355	417	385	404	416	297
50	53	59	47	60	46
2049	2610	2541	2323	2325	1815
26	36	37	59	43	27
606	718	661	744	800	522
17	28	29	41	31	15
2	4	13	10	4	1
1919	2322	2194	2247	2174	1551
96	180	188	246	220	162
648	791	670	680	720	553
7	11	22	17	11	12
22	37	43	25	22	24
723	789	820	691	721	563
242	284	269	255	264	185
1329	1882	1750	1771	1662	1059
0	0	0	0	0	2
1	2	6	2	2	3
646	676	603	604	665	479
377	370	478	423	378	331
19	30	23	12	17	7
36	27	29	37	34	30
12073	14715	13877	13994	14997	11157
180	198	217	137	192	137
6	6	15	10	4	8
5	4	1	16	14	11
0	1	0	0	0	0
0	0	2	0	0	0
1	2	5	7	2	0
20	42	27	32	39	29
265	283	309	313	277	270
7	16	21	15	8	17
0	0	0	2	0	0
187	197	209	190	209	172
35	40	48	59	43	28
996	1150	1314	1513	1399	1002
1482	1690	1446	1680	1917	1532
314	395	411	403	458	302
1648	1912	1890	2028	2034	1534
1446	1799	1719	1734	1676	1229
0	2	1	2	0	0
808	945	743	765	783	590
40	68	86	176	80	45
843	1077	1001	1079	841	613
2913	3192	3100	2970	2968	2523
2634	3279	3007	1900	2055	1467
0	1	0	0	0	0
765	957	1035	1502	1020	760
272	333	319	141	116	89
0	1	0	0	0	0
0	0	1	1	0	0
278	416	378	343	369	250
135	172	147	164	187	138
220	238	251	233	243	183
478	627	594	617	535	415
2	2	5	1	0	1
2	2	6	1	4	1
1452	1601	1470	1305	1416	1168
8	11	21	4	5	3
17	21	26	106	58	36
1101	1417	1239	1387	1787	1374
160	388	252	251	789	453
179	250	228	327	453	354
447	610	406	356	576	541
248	271	319	300	281	198
387	531	471	492	464	317
528	706	667	727	658	514
1796	2020	2165	2610	2196	1702
519	827	816	749	750	452
0	0	0	0	2	0
58	79	82	63	59	76
2474	2978	3141	2994	3210	2187
2072	2237	1945	1574	1550	1313
5	5	3	8	6	2
3	10	2	0	6	2
2329	2690	2208	1939	2164	1508
23	9	59	38	39	29
0	0	0	1	0	0
3	2	0	3	6	4
5079	7774	8902	8934	7769	4620
172	163	177	196	204	152
5	2	1	3	4	1
128	118	131	168	134	107
2640	3083	3098	3066	3108	2495
3	1	4	12	21	9
154	218	239	359	252	166
1784	2183	2301	3138	2450	1790
77	91	105	322	263	173
1	0	1	2	0	0
4	7	11	24	14	4
2	3	4	10	2	2
23	23	19	22	27	28
13	33	53	49	51	20
373	346	309	335	329	251
463	573	552	55	48	39
6	4	2	3	2	4
0	0	0	0	1	0
76	50	91	122	117	146
1101	614	1117	2261	1718	1639
2	2	4	2	1	0
21	14	41	40	26	27
911	881	929	895	939	805
251	262	279	281	195	244
0	4	2	2	2	0
3	3	0	1	4	1
0	0	1	1	2	2
112	113	106	88	84	72
698	757	744	726	752	597
191	215	184	233	211	188
298	298	271	262	259	262
2	0	1	0	0	0
2	2	5	0	0	0
0	5	8	3	3	2
19	31	29	22	25	18
0	2	1	1	1	0
0	0	0	1	0	0
542	455	441	388	342	362
255	248	242	279	274	254
0	1	0	0	2	1
80	106	99	71	43	42
0	1	1	0	1	0
115	120	96	93	117	93
608	644	661	577	554	422
161	180	183	145	141	111
2161	2417	2406	2194	2081	1769
7	2	10	7	9	3
125	133	137	169	134	140
2	1	5	1	0	0
315	332	240	332	296	222
1403	1243	1011	619	762	843
1374	1541	1545	1299	1410	964
3	0	1	2	2	2
1365	1594	1481	874	761	631
40	54	58	55	33	12
164	171	179	97	114	88
299	445	398	309	383	226
536	636	677	710	632	519
444	497	505	382	369	339
1396	1349	1363	1717	1431	1077
55	67	66	57	49	28
24	25	34	43	36	32
233	296	258	230	269	158
3012	3818	3476	3317	3059	2292
0	1	0	0	0	0
2	0	0	0	0	0
1	0	1	1	2	1
1	0	0	1	0	0
604	685	680	660	655	580
13	12	19	27	16	4
200	211	194	119	122	120
3170	3649	3293	2968	3390	2668
129	174	173	163	153	136
2	7	3	17	5	3
228	298	317	317	331	254
543	628	697	641	764	621
20172	21810	24886	23536	23143	19057
372	554	449	378	355	255
23	40	42	29	26	13
467	623	636	681	586	455
131	129	165	127	114	110
98	105	106	100	135	99
122	87	108	126	93	87
2119	2416	2253	2098	2275	1815
5	2	0	2	0	1
668	828	690	694	717	549
32	37	25	30	23	24
149	177	202	207	173	117
7	9	14	27	8	5
0	0	0	1	0	0
0	0	1	1	0	1
981	1136	1205	937	1021	864
0	0	0	1	0	0
0	1	1	0	1	0
0	0	0	0	1	1
111	121	142	151	114	122
2	0	0	0	0	0
0	0	1	2	1	4
6	2	25	29	20	7
11	16	39	46	49	26
2166	2596	3025	2690	2577	1935
0	1	2	0	0	0
364	421	467	395	411	338
1	0	0	0	1	2
75	63	92	664	221	158
20	11	19	21	7	18
23	41	65	65	33	23
2893	3447	3183	3328	3385	2569
3094	3765	3860	3805	3351	2650
3	1	4	0	1	0
193	315	243	250	234	185
4	5	6	7	3	1
10	9	9	8	3	5
0	1	0	0	1	0
31	59	66	60	61	48
384	484	436	522	484	397
0	1	0	0	0	0
2	1	3	10	10	3
3356	3897	3709	3548	3399	2776
1605	2048	1896	1950	1619	1198
171	183	173	143	131	89
62	26	43	31	21	28
49	89	71	33	39	23
3107	4095	3283	3238	2979	2222
3	4	8	42	19	3
231	272	326	319	285	204
1974	2446	2714	4086	3726	2783
66	78	103	70	81	65
0	0	0	0	0	1
1	2	1	1	1	0
1	0	1	0	0	0
4	7	8	28	17	9
0	0	0	0	0	1
1177	1568	1531	1393	1484	1014
1451	1711	1588	1781	1805	1227
24898	32927	29679	28900	27477	19073
347	314	353	405	422	377
238	293	339	302	336	235
510	656	649	663	737	520
39	41	41	34	52	35
0	0	5	1	0	2
199	246	243	349	367	253
1257	1658	1593	1531	1657	1185
190	241	219	175	202	125
1	1	4	3	2	2
0	0	0	0	0	1
137	162	182	177	220	143
135	125	99	183	160	153
603	677	680	555	620	495
422	512	562	598	629	392
620	707	652	695	710	561
319	433	415	519	463	308
705	822	794	801	772	616
359	453	313	314	421	249
1458	1905	2219	2137	1795	1297
1	0	1	2	0	0
1282	1665	1424	1868	1874	1342
49	66	59	120	93	66
1662	2265	2244	2589	2400	1630
2	4	6	5	2	4
76	93	117	114	112	80
6	12	5	8	10	9
614	934	956	1012	881	537
890	1063	1068	976	1090	783
21	18	29	26	34	6
2397	2450	2736	4438	4171	3192
8	1	7	6	10	7
889	892	878	942	906	799
757	1051	613	391	739	545
2362	2666	2532	2657	2584	1798
213	385	221	176	260	200
112	183	170	123	115	85
285	327	241	195	246	214
407	414	373	243	397	343
31	35	27	31	23	21
40	46	67	59	57	31
183	203	132	70	106	94
583	672	734	704	757	630
2	0	0	0	2	0
829	778	547	764	789	664
73	78	77	228	134	112
198	264	249	293	343	236
167	237	221	209	194	161
606	708	571	622	664	564
50	50	40	58	54	26
509	726	490	653	732	488
11	20	15	14	25	24
112	163	98	147	119	57
0	0	0	0	1	1
146	97	234	213	129	128
15	16	15	18	15	12
15	14	8	6	10	14
42	59	34	71	42	56
0	4	0	0	0	0
8	5	2	36	22	21
162	227	168	224	283	218
134	167	129	200	316	208
1418	1668	1168	1552	1404	1054
9545	11811	12552	13646	11275	8577
148	165	169	160	159	124
152	160	165	203	207	210
67	67	127	478	315	200
884	1083	1109	1262	1203	897
1	0	4	1	1	1
8	2	2	10	4	2
3898	3202	2334	849	1078	1099
15	22	23	18	23	15
26	24	13	23	31	26
8	7	14	9	10	12
25	40	17	50	28	22
0	3	0	0	1	1
387	444	407	440	355	288
0	0	1	0	0	0
1	0	1	3	1	1
6080	7291	9591	8180	9464	6773
159	137	133	181	292	247
5	3	3	1	2	2
272	332	289	334	335	250
1	1	0	0	0	2
328	370	366	421	438	468
0	0	1	5	9	1
31	17	47	404	216	193
696	812	800	848	820	591
208	314	246	290	311	268
3851	4536	4210	4605	4360	3283
5	8	14	7	43	36
0	0	1	0	0	0
160	245	241	324	311	168
17	35	23	38	38	14
5	2	0	2	7	4
879	1031	960	1233	1207	922
1	0	0	3	9	2
78	46	193	331	184	111
7	2	25	25	9	10
162	137	180	196	140	128
364	408	486	457	496	348
2	2	0	8	11	5
328	360	470	441	370	289
276	314	323	364	374	265
74	74	72	97	85	56
142	142	177	362	215	125
13	6	10	8	4	2
449	496	492	456	434	368
564	799	759	511	650	429
17	29	13	18	27	16
0	0	2	0	0	0
0	0	1	0	3	0
25	24	28	22	9	12
95	66	84	276	255	249
272	319	416	433	362	263
1340	1524	1450	1598	1391	1126
0	0	0	0	0	1
68	74	53	33	76	72
7	11	3	3	5	15
1051	1312	1187	1462	1486	1132
1071	1243	1100	1361	1433	1169
132	151	132	148	176	138
69	60	69	72	63	77
8	12	13	10	19	11
25	32	21	20	31	30
0	0	0	0	0	2
3963	4418	4520	4478	3735	3300
681	546	712	1302	1000	780
0	1	1	0	0	0
19	10	15	2	7	5
6	8	17	9	12	14
184	229	204	234	229	190
1	0	0	0	0	1
154	223	260	343	258	204
560	568	534	401	557	426
1191	1774	1709	1956	1946	1205
46	69	51	63	48	38
0	1	0	0	0	0
1	2	1	0	0	0
4	11	17	18	10	6
1047	1143	1146	1168	1142	873
1948	2127	2331	2451	2059	1505
451	687	584	589	710	460
499	704	648	627	727	396
0	0	1	1	0	0
0	0	2	2	0	2
0	0	0	0	2	0
683	896	850	844	766	469
366	466	481	480	483	359
0	0	0	0	1	0
1900	2364	1927	1563	1597	1226
31	31	27	28	36	25
466	510	489	494	529	400
818	1042	859	1336	1241	832
166	189	181	193	195	133
4	0	3	9	6	5
1952	2389	2168	2373	2440	1834
12	9	3	5	8	10
435	532	422	434	474	324
325	410	334	343	367	273
1	5	5	4	4	3
1536	2120	2022	2136	1997	1399
224	214	308	338	294	204
2396	2960	2680	2538	2656	2209
0	0	1	0	0	0
195	314	267	287	319	206
837	1177	1102	1253	1083	738
2	1	5	2	2	4
31	29	29	62	61	27
167	177	200	219	164	157
814	763	748	1518	1259	1037
6	5	7	9	8	5
688	676	829	695	591	542
466	670	667	632	620	487
278	345	333	338	313	209
203	225	269	234	218	169
2	16	3	17	14	13
546	574	589	598	574	507
82	108	113	113	93	74
2074	2495	1727	1452	2352	2048
7	16	6	5	6	10
5	5	4	13	7	8
133	146	159	216	198	139
238	322	291	334	314	216
0	0	0	2	0	0
610	817	793	940	730	585
1	0	0	0	0	0
0	0	0	1	0	0
0	0	1	0	0	0
0	0	0	0	1	0
413	436	506	520	556	401
399	502	559	595	556	388
1265	1524	1514	1445	1476	1025
0	1	0	4	3	1
90	124	100	137	127	101
282	279	264	223	258	229
597	691	618	722	750	638
28	35	51	61	34	31
33	39	42	30	36	17
120	88	118	93	70	89
27	26	17	38	45	30
603	451	782	1213	968	778
555	777	747	952	953	577
793	759	872	1015	919	742
1	1	1	1	0	1
0	0	0	0	1	0
7	3	5	0	4	2
1	0	2	5	0	0
1	3	3	1	2	0
653	1052	1074	1075	1011	611
459	620	605	789	732	520
5157	7465	7879	7599	7088	4482
168	185	197	189	214	160
7	12	13	7	10	11
408	492	481	407	442	344
89	73	88	76	95	76
263	393	272	353	382	265
1	1	3	0	0	1
0	1	0	0	1	0
304	321	266	365	385	291
244	261	243	299	232	213
641	787	749	766	752	571
269	339	445	502	379	283
324	365	381	389	357	275
476	483	448	493	537	447
72	66	46	90	72	35
81	161	74	38	41	25
2184	2504	1979	1633	1852	1694
5	5	7	12	6	1
15	5	9	4	3	13
216	324	405	344	252	183
525	577	811	893	703	571
20	10	6	15	20	13
878	1162	992	864	912	776
34	25	25	67	33	29
1369	1599	1767	1941	1850	1336
732	928	824	903	1035	728
2199	2473	2281	2230	2307	1871
54	89	40	40	66	50
4	7	3	1	0	2
3347	3923	3066	2701	3041	2716
945	1037	1136	1129	1132	862
295	303	332	365	329	275
127	182	120	74	99	74
1214	1592	1087	913	887	574
74	95	47	90	83	40
28	29	28	36	19	28
0	0	0	24	7	1
133	172	122	93	105	75
0	1	0	0	0	0
2391	3117	2210	1366	1497	1255
2	5	2	0	2	1
1213	1335	1382	1262	1231	1037
1381	1838	2095	2055	1927	1332
10	6	5	12	16	7
513	645	723	781	631	509
11915	13469	13857	14458	12760	9644
1269	1515	1653	1584	1435	1167
19	13	35	23	26	10
6249	8885	9983	9406	7425	5219
8778	9700	9873	9632	7178	4710
173	241	206	217	218	167
1349	1653	1386	1123	1503	1153
397	572	473	487	577	366
1279	1457	1407	1701	1354	1044
3	7	10	7	7	4
1	1	0	0	1	0
139	118	79	42	55	52
1934	2478	2407	1997	1970	1361
2103	2008	2247	2220	2509	2116
62	52	74	64	49	46
1	2	1	1	2	0
0	0	0	1	0	0
384	377	383	450	453	372
2688	2723	2821	3496	3812	3073
160	277	293	243	222	143
0	0	0	0	0	1
441	655	624	707	675	483
347	434	566	711	644	398
270	340	299	354	362	248
5642	6104	5721	4004	4083	3128
8	10	8	6	11	2
0	0	0	1	2	3
2701	3133	2710	2564	2908	2114
334	414	360	516	484	379
1420	1709	1631	2046	1840	1327
0	1	0	0	0	0
61	88	63	17	29	47
59	63	107	129	119	89
89	108	98	102	100	80
58	78	59	73	69	50
1480	1623	1658	1756	1751	1360
302	374	318	367	374	251
448	452	440	557	487	390
1196	1598	1459	1546	1480	1028
2891	3401	3458	3507	3471	2614
1	0	0	1	1	0
1	1	0	0	0	0
24	34	39	65	31	25
6	4	2	8	5	5
577	715	721	841	714	514
1398	1633	1533	1512	1497	1118
0	4	1	2	0	2
183	249	208	195	198	157
14	10	14	12	19	5
2767	3025	3093	2945	3082	2500
3	4	1	1	0	1
199	200	123	24	35	48
2	4	5	1	2	1
230	273	287	66	70	91
1678	1845	1839	1575	1526	1265
118	133	171	149	182	138
17	12	14	9	9	7
2	1	3	2	2	1
1	0	0	0	0	0
62	62	76	107	43	64
2087	2546	2779	2574	2356	1737
57	43	43	53	37	36
1610	1780	1710	1888	1740	1404
204	317	298	271	281	152
3250	4099	4423	4356	3467	2389
28	47	61	47	41	34
3	2	6	2	3	3
26	17	34	38	25	28
1438	1437	1618	1310	1314	1146
10	8	1	9	12	4
0	0	0	0	0	3
24	14	35	51	24	38
134	185	119	116	134	95
6890	8340	8489	7343	6381	5000
1	1	1	1	0	2
106	110	95	114	85	68
4758	5206	5940	5809	5710	4146
728	811	894	1099	934	679
0	0	1	0	0	0
0	1	1	1	0	0
0	2	3	1	0	0
0	5	1	2	0	0
156	133	104	146	128	145
96	130	97	116	132	112
3358	3783	5000	8151	8051	5457
477	548	439	455	438	374
101	139	129	134	108	95
611	711	764	751	774	589
4	2	6	14	8	0
884	1045	889	794	868	710
1044	1202	1498	1788	1678	1272
226	242	272	267	296	190
4	1	2	0	2	1
4	8	8	19	6	12
1	0	1	3	3	1
94	92	118	95	77	79
821	907	855	1048	1122	855
23	7	13	78	109	82
396	176	582	2282	1532	1437
42	25	41	100	92	112
302	267	372	389	376	278
1834	2049	1986	2315	1993	1610
292	317	357	445	318	233
403	451	433	519	542	463
4928	5288	5165	5741	5189	4263
484	580	568	496	551	452
1143	1699	1091	718	934	751
82	102	106	89	76	78
79	116	68	63	88	79
33	22	26	19	27	35
5	3	2	4	5	5
102	121	137	159	141	109
40	33	33	23	23	20
504	595	555	507	594	402
5	4	3	0	1	2
46	81	86	91	68	46
8	6	11	14	7	1
198	201	306	287	215	176
3431	3306	3271	3392	3429	2808
11	11	12	19	13	17
5381	5711	5087	5000	5452	4506
171	223	197	132	138	125
677	810	962	781	699	564
2	2	4	12	4	2
1498	1573	1550	1694	1510	1174
3	2	2	6	4	2
0	0	1	0	0	0
442	513	524	425	367	335
23	54	39	7	4	6
9538	10443	9612	9493	10203	8490
3	6	4	4	4	2
0	0	0	0	1	0
523	526	506	622	618	441
514	600	563	487	555	392
3	1	1	3	4	4
522	782	796	561	410	289
1437	1544	1638	1612	1592	1363
0	1	1	1	0	0
1128	1330	1475	1359	1231	945
110	132	117	124	88	101
223	336	370	217	177	165
116	148	239	197	140	93
2333	2398	2576	2429	2260	1985
3794	4417	3557	4205	4270	3181
914	1157	1211	718	695	449
1554	1827	1915	2043	1951	1359
121	195	275	308	205	147
1026	1255	1276	1082	1110	831
1926	2575	2596	2450	2012	1181
537	565	558	613	616	544
40	40	45	49	38	30
103	127	135	113	114	77
1360	1652	1588	1498	1536	1151
614	676	741	726	623	462
21	30	14	15	15	12
2027	2390	2349	2243	2303	1853
5848	6210	7883	7168	6632	5621
8	4	7	23	10	14
276	290	313	252	303	237
5	16	30	18	16	12
336	438	465	476	361	268
12	8	19	14	2	7
24	18	37	38	21	15
256	513	538	662	578	263
3787	3813	3991	4682	4277	3582
768	978	1220	964	1054	767
2733	3361	3590	3619	3197	2450
1	0	2	0	0	0
10	8	5	15	9	7
1383	1506	1575	1563	1491	1122
642	763	810	727	716	501
377	475	550	526	467	329
0	0	3	0	0	1
10	28	28	21	22	9
2064	2517	2475	2566	2564	1840
667	700	748	915	924	716
544	632	695	763	675	521
225	279	281	279	343	204
11	37	37	47	44	8
4187	4825	4518	4139	3826	3055
2158	2766	2735	2683	2588	1771
592	712	730	673	707	580
2318	2363	2427	2375	2492	2021
8	3	5	7	3	11
0	1	7	4	3	2
690	848	870	873	786	579
2	13	7	3	9	3
474	520	660	579	560	451
156	194	252	224	227	148
1	0	0	0	0	0
470	528	681	622	596	468
1971	2380	2380	2188	2103	1611
219	327	235	187	155	114
30	30	38	36	29	36
8	6	11	9	6	6
58	79	73	60	66	60
1468	1561	1805	1608	1480	1288
1374	1393	1415	1457	1422	1278
1	1	1	1	1	1
1565	1710	1698	1680	1573	1279
900	1236	1457	818	789	488
910	1156	1209	1180	1099	801
43287	47780	45901	46781	50299	39153
751	828	828	810	635	572
3	5	9	81	21	14
0	4	3	3	4	0
3	7	10	12	8	1
464	428	466	496	512	399
309	321	431	292	304	225
136	167	180	119	74	58
1396	1750	1924	1671	1535	1127
1699	1848	2008	1830	1740	1421
3	5	8	5	8	8
5	11	9	13	12	12
1134	1393	1285	1340	1194	915
345	625	663	535	440	275
2	2	4	0	1	3
1910	2216	2285	2243	2049	1548
57	65	80	82	83	56
0	0	0	0	2	0
1	0	0	0	0	0
3	2	3	2	1	2
366	607	717	803	611	349
176	280	351	438	358	226
897	1149	1133	1033	951	740
8	6	9	5	13	4
139	199	246	222	185	156
1199	1412	1366	1195	1170	828
2477	2851	2179	1610	1851	1381
27	45	54	21	16	12
103	116	75	46	61	42
4	5	7	13	7	12
287	314	361	320	312	247
401	493	528	473	399	347
7	15	11	16	10	12
17	13	14	8	16	13
5	6	9	4	6	4
4	4	2	8	7	5
100	140	156	173	116	85
36	68	85	67	79	60
21	36	34	21	35	29
56	100	86	100	100	86
0	0	0	0	0	1
102	110	174	185	148	119
76	95	82	87	68	62
257	342	302	333	353	208
2	0	4	0	0	0
114	160	170	145	133	99
2477	2745	2882	3235	2616	1959
6140	6867	6701	7302	7236	5525
17	36	20	21	27	9
12	12	10	11	8	12
5	19	12	13	10	4
1456	1730	1822	1524	1576	1223
82	107	74	86	47	35
1141	1620	1480	1611	1505	1079
361	431	443	451	459	310
203	191	192	274	227	161
45	73	70	78	63	23
1237	1558	1546	1348	1317	933
19	27	23	23	10	11
1660	1864	1620	1981	1898	1464
7	3	5	9	8	11
345	535	668	562	448	277
9	5	10	8	13	7
274	476	486	596	521	306
59	86	118	114	103	82
553	559	558	709	672	544
203	276	258	470	369	217
1908	1998	2060	2017	1966	1466
580	723	681	714	719	492
6	6	4	4	3	6
2639	2877	2860	2702	2797	2293
0	0	0	1	2	1
172	231	228	206	168	136
4	6	9	5	4	3
8	17	11	44	31	21
12210	15282	16687	16055	11377	8880
16	20	25	35	28	10
253	354	276	171	248	178
24	18	9	8	12	9
4	2	3	2	3	5
1	1	1	14	11	7
0	1	0	0	0	0
320	389	444	437	370	242
361	445	525	494	494	370
223	202	209	160	199	166
8	2	6	6	7	11
551	723	651	774	849	532
199	214	162	153	197	146
146	237	364	298	257	191
40	29	12	20	28	21
467	468	259	136	206	262
837	944	942	879	872	701
6353	7463	7422	7786	7610	5369
5	0	6	8	2	3
2	0	2	2	0	0
522	706	642	764	758	537
1	0	2	4	3	1
0	0	3	1	0	0
349	596	539	532	485	368
255	269	321	306	252	205
608	833	782	868	843	544
6	15	24	21	20	16
636	850	763	848	914	623
241	435	334	287	368	236
4912	5679	5341	5019	5773	4500
6046	6785	6229	6417	6791	5060
217	224	207	262	204	169
0	4	1	0	2	2
411	394	488	660	516	518
154	124	139	99	146	154
1176	1369	1224	1392	1546	1161
100	115	54	7	7	15
0	1	0	5	1	3
32	27	30	55	71	40
1263	1563	2023	1463	1382	1076
3	2	2	2	1	1
55	84	143	295	254	137
5021	5671	5576	5812	5183	4151
116	159	163	181	176	119
94	188	127	130	154	91
49	76	65	61	66	58
730	799	865	803	1003	781
17	29	15	57	35	21
806	1186	1143	1181	1111	760
23	11	14	48	13	14
206	213	210	186	155	137
750	916	1099	1366	949	724
1656	1943	1968	1707	1670	1325
890	1066	985	998	1205	907
4249	4749	3919	3648	3304	2764
15	13	5	17	16	10
416	760	713	792	604	367
0	0	1	0	1	0
314	348	414	446	396	295
0	0	0	0	1	0
1	0	0	0	0	2
0	0	0	0	1	0
1679	2618	2360	2202	2003	1370
162	180	175	142	151	143
65	84	55	39	51	41
185	96	252	343	274	223
5	2	7	3	7	1
13	13	20	48	38	11
0	2	0	1	1	0
0	0	1	0	0	0
611	883	944	1034	1028	646
433	677	788	861	627	400
83	135	120	127	121	77
15	32	26	13	7	11
0	2	1	4	5	5
5	4	9	8	6	4
5	5	17	6	7	2
179	165	181	221	258	214
0	0	2	3	3	0
15	7	14	7	8	2
120	145	126	142	142	95
1111	1308	1217	1179	1116	883
1	0	1	1	1	0
0	0	0	0	2	0
0	2	1	0	0	0
3288	4149	3660	3758	3440	2476
1612	1881	1373	1377	1337	1095
1	0	0	1	1	0
1	1	0	3	0	0
2	2	1	1	2	0
398	477	414	578	589	414
2305	2235	2796	3392	2946	2270
207	260	215	258	252	182
307	388	419	462	380	204
49	67	52	66	78	42
17646	20553	21189	22766	21869	17075
93	87	109	167	134	117
1760	1991	2051	2222	2059	1628
0	0	0	1	0	0
2	0	0	0	0	0
28	34	55	56	59	36
2	0	0	2	5	0
1108	1236	1263	1390	1231	931
2	0	1	0	0	0
0	0	1	2	0	0
912	1139	1173	1116	1168	892
623	690	815	933	771	597
387	391	470	442	366	308
27	47	83	133	99	52
660	1373	1364	1372	1468	618
1	1	0	1	0	0
0	0	1	2	0	0
0	0	0	1	0	0
10	9	15	14	1	7
1	2	1	3	4	4
4	6	3	7	13	6
1341	1606	1556	1826	1712	1241
1	2	1	0	0	1
460	534	490	638	595	463
2	1	0	0	0	1
0	1	0	0	0	2
10251	11906	11303	11568	11495	8963
508	703	679	645	610	415
1482	1570	1652	1791	1730	1411
2339	2969	2908	3154	3086	2329
7	4	17	12	9	3
3602	4549	5849	6499	4907	3331
164	256	229	258	229	183
2309	2903	2711	2796	2794	2138
1438	1603	1805	1765	1919	1417
290	349	410	498	417	282
1	0	0	0	0	0
1	0	1	0	1	1
146	206	163	198	194	155
5638	6602	6310	5034	5050	3957
53	51	57	68	60	51
1768	2425	2359	1821	1653	1153
597	592	674	566	358	288
128	130	131	108	115	116
899	922	1116	822	786	652
339	295	300	221	324	325
19	18	18	17	14	24
728	763	617	541	624	483
1	7	2	1	1	2
1	0	1	2	3	0
659	892	774	810	843	649
246	222	244	340	290	205
657	878	976	997	848	560
2664	3264	3204	3447	3123	2235
1	0	0	2	0	1
244	262	251	274	249	200
143	237	130	73	85	71
619	633	614	680	678	561
0	0	0	1	0	0
32	31	27	29	44	36
755	966	1048	1062	940	660
1002	1234	1310	1411	1306	965
0	0	0	1	0	0
0	0	0	1	1	0
364	469	321	462	445	337
145	159	190	150	150	106
884	1172	1110	1111	1138	809
6	3	3	5	4	9
526	643	655	611	599	452
15	15	11	7	10	3
524	511	481	443	456	414
5	5	3	0	6	5
114	212	210	290	264	138
5147	5594	5810	5638	6099	4759
645	789	732	691	707	551
4	10	13	11	8	4
727	934	987	908	738	556
116	135	87	58	100	40
15	16	25	15	11	11
304	457	595	637	451	257
275	336	396	489	384	247
1070	1484	1240	1011	1148	772
514	796	951	1113	1194	581
1806	2137	2330	2246	2312	1701
711	1042	1003	1164	934	574
142	239	466	625	266	183
2163	2787	2688	2510	2308	1803
56	80	43	11	7	12
88	87	172	259	83	61
2	12	11	11	7	3
1	1	0	11	1	3
1375	1502	1386	1587	1450	1102
7	5	6	8	9	9
0	1	0	5	7	1
2767	3387	3166	3002	2950	2183
3	3	10	7	1	1
1324	1560	1550	1131	1122	727
413	488	426	406	430	302
214	417	374	222	247	93
371	642	654	589	595	317
69	128	93	94	114	78
5	14	7	3	5	3
558	709	695	550	549	401
8	28	11	15	14	7
8	11	19	6	12	2
0	0	1	0	0	0
2	1	1	0	0	0
1	2	4	0	0	1
6	7	2	0	1	1
16	33	16	10	24	14
1239	1449	1244	1159	1288	1032
10616	11851	12544	12145	12173	9532
5030	5870	6136	5782	5489	4250
27894	31552	31411	30871	30152	23682
10650	14202	11427	9568	9540	6570
695	818	622	686	756	633
321	384	307	294	335	304
337	399	383	323	304	242
7	3	2	7	2	0
4491	4378	4520	4444	4159	3445
0	2	2	2	1	2
32	30	19	33	40	30
551	795	792	619	619	387
29	28	9	22	26	23
1113	1169	1157	1150	1109	941
1122	1328	1536	1620	1484	1243
3705	4640	4197	3939	4123	3034
67	68	94	63	71	58
629	923	841	779	890	453
0	0	1	0	1	1
546	531	561	654	704	503
595	787	794	934	834	520
1204	1624	1423	1411	1441	1020
4345	4737	5262	5392	5135	3900
56	79	81	32	54	39
1063	1202	1416	970	892	696
332	508	543	483	446	248
8444	9120	11323	9847	11088	8227
14402	15212	14167	14797	15125	12051
389	504	389	358	423	266
7578	8263	10548	8995	9628	7338
17	17	27	32	22	16
40	36	44	47	59	37
354	529	504	387	358	279
1670	1970	1839	1531	1674	1237
64	99	128	13	24	34
734	740	882	548	637	493
1353	1400	1428	1404	1309	1064
28	29	17	14	28	19
75	118	114	90	111	95
781	1066	955	1002	949	676
2819	3637	3781	3310	2941	2301
267	307	313	268	307	233
27	33	30	54	41	22
1235	1579	1822	1283	1441	1116
2	1	3	4	7	6
12	15	21	18	23	16
12	19	6	6	9	5
1	0	0	0	0	1
0	3	2	3	1	0
0	0	2	0	0	0
6	7	10	18	10	4
1	0	1	0	0	0
1	3	1	3	2	4
0	0	2	3	3	1
109	184	135	151	175	108
2130	2993	2809	3140	3122	1891
7	15	9	7	13	19
1	0	0	0	0	1
124	136	134	160	140	107
443	606	572	649	550	437
1800	2148	2086	2113	2162	1565
10	17	19	24	23	19
1864	2186	2137	2343	2513	1844
1707	1752	1657	1576	1678	1436
475	516	723	485	540	439
1	0	0	2	0	1
622	726	725	597	644	558
0	1	0	1	3	0
5	19	12	16	29	22
248	288	311	320	337	201
2	0	0	0	0	1
1	0	1	0	0	0
3	1	0	1	0	0
100	128	154	130	106	92
12	20	10	21	14	9
5	8	8	5	6	1
766	908	911	870	884	598
0	0	0	1	0	0
226	252	266	260	245	170
34	43	58	89	68	54
1835	1996	2246	2135	1806	1518
1769	2061	1952	2037	2075	1601
172	165	171	159	146	160
286	312	562	502	363	277
158	214	295	250	210	165
721	892	1031	988	917	696
58	72	122	663	290	134
5262	5864	6092	6721	5553	4354
0	0	0	0	0	1
183	323	326	334	285	197
279	349	355	383	367	295
1	2	3	2	2	4
1	0	0	0	0	0
94	179	181	208	221	99
