mES_2i_LIF_r3	mES_2i_LIF_r2	mES_2i_LIF_r1	mES_2i_r1	mES_2i_r2	mES_2i_r3
62	57	52	44	57	60
24	20	20	31	31	40
2	1	0	3	5	8
210	240	236	222	227	159
450	533	567	625	566	414
469	554	527	509	538	457
1514	2003	1933	2278	1829	1246
258	328	356	411	385	276
2	0	5	4	3	0
76	96	69	123	102	93
2	1	1	1	2	1
3	6	6	3	2	0
2	1	0	1	0	0
996	1055	848	643	698	616
575	740	416	181	378	258
120	230	199	175	215	101
795	842	999	1025	873	732
1624	2040	1909	1950	2125	1530
1233	1703	1423	1574	1493	1076
8958	11525	11027	11361	10820	8103
45	62	51	29	62	50
145	156	176	229	193	144
30	27	18	35	45	39
1740	2006	2195	2260	2064	1616
1169	1203	1240	1414	992	954
2	1	2	2	0	3
558	642	574	616	519	414
0	0	0	0	0	1
0	0	0	2	0	0
1155	1335	1531	1939	1489	1222
15	8	12	11	5	9
4910	6976	8383	7211	5793	3830
667	710	871	951	1118	817
537	570	449	369	498	405
4	24	15	11	16	3
296	343	343	315	314	256
455	514	512	550	516	429
24	25	27	30	22	18
225	259	278	280	231	179
6	2	5	13	4	6
89	89	89	68	83	84
426	355	407	435	448	395
1	2	0	0	1	2
0	0	2	0	0	0
30	40	78	102	27	28
52	41	51	58	53	39
32	63	54	75	53	39
1044	1254	1291	1378	1262	894
1537	1497	1290	1260	1485	1345
1355	1306	1362	1344	1414	1174
529	830	649	725	724	439
2396	2646	2316	2259	2205	1813
554	703	572	537	544	361
1	0	0	0	0	0
9	16	12	3	9	11
117	104	119	123	132	86
8	7	5	2	1	0
19	37	19	19	25	19
13	25	17	24	13	16
188	285	288	354	313	222
426	526	584	679	680	419
61	68	81	79	74	57
113	160	162	178	149	114
0	1	0	0	0	0
6	4	17	12	10	9
10	19	33	70	43	30
1	1	2	1	1	3
167	238	203	170	142	55
13	9	11	21	18	14
2	0	2	2	0	3
264	280	302	331	315	245
0	1	0	0	2	1
85	95	97	105	111	88
1292	1757	1444	1447	1466	1077
143	181	187	223	150	122
4	7	15	7	10	5
0	0	1	0	0	1
0	0	0	0	0	1
155	215	195	183	179	175
398	590	606	617	703	453
1076	1352	1369	1292	1341	1019
116	136	128	115	147	83
8	9	13	9	12	13
223	329	322	260	245	176
777	1058	1049	848	888	658
697	912	894	808	766	563
18	27	27	28	24	16
1144	1355	1317	1471	1392	1126
538	807	601	491	714	418
2	3	13	72	55	19
4562	4717	4086	4570	4764	3876
227	233	270	383	426	355
67	68	76	111	141	89
811	880	809	799	1007	754
784	844	945	824	844	790
642	591	729	767	766	674
0	1	2	2	3	1
391	520	495	465	549	367
299	430	409	437	455	309
1630	2323	2806	2751	2435	1518
16	18	18	41	45	43
1	0	10	5	8	1
389	563	487	594	590	374
57	93	44	44	72	38
10	10	12	13	13	13
0	0	1	0	0	0
937	1177	1388	1498	1186	835
5445	5944	5878	5233	5745	4613
500	660	753	741	639	473
2	1	0	0	3	1
291	382	422	389	319	232
2	1	0	3	1	3
98	105	118	143	160	124
5100	5522	5726	6191	5339	4485
0	0	0	3	4	0
769	874	864	958	1014	789
406	619	538	574	605	416
6	17	14	40	17	14
337	335	353	427	381	311
82	76	55	31	43	60
5	5	4	3	2	2
471	542	532	546	637	458
4	0	4	3	3	3
73	97	87	122	106	80
6471	7942	10809	6852	5655	3770
373	444	312	152	407	264
29	35	49	45	26	33
441	614	639	519	586	379
0	1	0	1	2	0
10	14	15	27	17	19
0	2	0	1	2	1
109	115	120	130	127	65
539	671	720	689	732	530
80	104	133	193	191	103
