logFC	P.Value	tf	DMSO	LIF3	p_adjusted	sig
0.18881134402217	0.407911687811783	NFATC1	-2.15392647676656	-1.96511513274439	0.86802305667349	NS
0.0891473991310109	0.391712149386737	MYC	-0.198805621985471	-0.10965822285446	0.86802305667349	NS
0.116154302204458	0.372544143059564	NR3C1	-2.77989915923355	-2.6637448570291	0.86802305667349	NS
-0.194655011663632	0.493922769426187	TP53	2.14620944676073	1.9515544350971	0.890857641398841	NS
-0.0991715479983155	0.378300374312461	E2F1	1.01839360407667	0.919222056078358	0.86802305667349	NS
-0.144514637960394	0.48105685617313	PPARG::RXRA	-2.09372002959216	-2.23823466755256	0.890857641398841	NS
0.088616820685916	0.536843918730509	RANDOM1_1_mCMV	-2.44621068551169	-2.35759386482578	0.89918293817698	NS
-0.067829800431617	0.504048481324379	SOX2	0.695636959672983	0.627807159241366	0.890857641398841	NS
0.118255922501142	0.511034615996235	RANDOM3_3_mCMV	-1.90705488553361	-1.78879896303247	0.890857641398841	NS
0.0888960748324598	0.540997849267647	ESR1	-1.80316379638699	-1.71426772155453	0.89918293817698	NS
0.0817334522492681	0.431821386208481	HIF1A	-0.974478570051376	-0.892745117802108	0.884205695569746	NS
0.110499730757852	0.592525126598554	RANDOM2_1_mCMV	-2.43379220852147	-2.32329247776362	0.920912546159198	NS
0.0979792209658224	0.507581427215264	NR1I3	-1.92624823145619	-1.82826901049037	0.890857641398841	NS
0.0788893999738316	0.62127759275013	RANDOM3_1_mCMV	-1.84702891367792	-1.76813951370409	0.928017973129343	NS
-0.0355089711338847	0.844186092293026	CEBPB	0.13138321921744	0.0958742480835558	0.971859608156162	NS
-0.0773060120608895	0.559761361464581	THRA	-1.73927276012762	-1.81657877218851	0.910647543770054	NS
-0.0430715417473411	0.678938679277405	KLF4	0.135674010401213	0.0926024686538721	0.941411719001189	NS
0.0668609261189924	0.697558453937519	WT1	-1.32511115942108	-1.25825023330209	0.941411719001189	NS
-0.0426434088408517	0.66027029573007	NFYA	0.527867809487822	0.485224400646971	0.941411719001189	NS
0.0676475215498912	0.681975505596905	EGR1	-1.7755670079182	-1.7079194863683	0.941411719001189	NS
0.0728168753597656	0.708025489672501	AHR::ARNT	-1.33404152895975	-1.26122465359999	0.941411719001189	NS
0.0125433817063098	0.947887349471227	RANDOM3_2_mCMV	-1.65226378646802	-1.63972040476171	0.984763658191153	NS
0.051753130060411	0.733885325943312	SOX9	-2.28638709304831	-2.2346339629879	0.941411719001189	NS
-0.053470757662289	0.697046875714053	NRF1	2.26033074045547	2.20685998279318	0.941411719001189	NS
-0.0584810847920836	0.737074291621086	RANDOM2_3_mCMV	-2.31734820010886	-2.37582928490094	0.941411719001189	NS
0.0415486409053627	0.773038213364131	STAT1::STAT2	-2.10558521157244	-2.06403657066708	0.948797978487585	NS
-0.0450502602066382	0.671756428470059	NR1H4::RXRA	-0.646844261318738	-0.691894521525376	0.941411719001189	NS
-0.0709210386110309	0.807397579417545	HNF1A	-0.34617986019198	-0.417100898803011	0.962348152841308	NS
-0.0672099902546753	0.570443555625191	NR4A2::RXRA	0.778341825295557	0.711131835040881	0.910647543770054	NS
-0.0495245320639562	0.713372120262037	GATA4	2.24564945118416	2.19612491912021	0.941411719001189	NS
0.0296854969315159	0.880413495842315	IRX3	-0.485780121418323	-0.456094624486807	0.984763658191153	NS
0.023634884186375	0.858852676975213	TFEB	1.52852898018024	1.55216386436662	0.971859608156162	NS
0.0385383354269298	0.826701637682845	SMAD2::SMAD3::SMAD4	-1.24210594196365	-1.20356760653672	0.962348152841308	NS
0.0147365683655697	0.897304856647113	FOSL1	-0.99372241031919	-0.97898584195362	0.984763658191153	NS
0.0624018559009192	0.72493110224991	IRF1	-2.01456833432125	-1.95216647842033	0.941411719001189	NS
0.00356509796034341	0.98279148739605	GLI1	-2.24649719816319	-2.24293210020285	0.984763658191153	NS
0.0170212272089137	0.915794227025715	POU5F1	-0.390281792887888	-0.373260565678974	0.984763658191153	NS
-0.011223895659376	0.95289321886952	NR5A2	-1.37911472813437	-1.39033862379374	0.984763658191153	NS
-0.00563015406805988	0.961617566986925	MTF1	2.36177096894284	2.35614081487478	0.984763658191153	NS
0.00736872291893306	0.963789006662055	VDR::RXRA	-1.85858822929105	-1.85121950637212	0.984763658191153	NS
-0.0259505244628303	0.855975887237361	CLOCK	1.21392610973987	1.18797558527704	0.971859608156162	NS
0.0028868847077924	0.984763658191153	NR1I2	-1.58520419388624	-1.58231730917845	0.984763658191153	NS
0.0562834826204842	0.75437064153592	TFAP2A	-2.05125016386715	-1.99496668124667	0.948797978487585	NS
0.0131404487129971	0.894053831116103	XBP1	-0.850899389628395	-0.837758940915398	0.984763658191153	NS
0.31321992060475	0.171056088330862	RANDOM1_1_Random	-1.79096460910676	-1.47774468850201	0.680182082790441	NS
-0.258950066112863	0.259850607604212	RFX1	-0.712918577082003	-0.971868643194867	0.838018209523585	NS
0.169302001767939	0.269160242121239	RANDOM2_1_Random	-1.4322919189891	-1.26298991722116	0.846870030088776	NS
0.121952163601968	0.571801946088174	FOXA1	-1.97068884004269	-1.84873667644072	0.910647543770054	NS
0.121811709009341	0.496099232323357	NR3C2	-0.717253106235865	-0.595441397226523	0.890857641398841	NS
0.113035177547742	0.402116977216491	RANDOM3_1_Random	-0.476014634582866	-0.362979457035124	0.86802305667349	NS
-0.0745676654471225	0.53552606931068	SP1	1.42109447425407	1.34652680880695	0.89918293817698	NS
-0.777897441816574	5.15960110505331e-05	STAT3	1.85262923149895	1.07473178968238	0.00665588542551877	Downregulated
0.511409326433516	0.00757581383225047	PAX6	-2.25939211172952	-1.747982785296	0.306304898440413	NS
0.53259790139629	0.0127744361586833	GBX2	-2.16176891509127	-1.62917101369498	0.306304898440413	NS
0.373904462388883	0.011883752915058	RANDOM3_2_hBGm	-2.11433621957398	-1.7404317571851	0.306304898440413	NS
0.470400047829844	0.0142467394623448	RANDOM1_3_hBGm	-2.83457128176753	-2.36417123393769	0.306304898440413	NS
0.403968035263722	0.0203789545951756	RANDOM2_3_hBGm	-2.69468973462011	-2.29072169935639	0.375555020396807	NS
0.364998648111508	0.0347980401949019	RANDOM2_2_hBGm	-2.48455084776103	-2.11955219964953	0.415652851062661	NS
0.350916341979102	0.0678921356337731	RANDOM2_1_hBGm	-2.88730588677484	-2.53638954479574	0.547380343547296	NS
0.289582903270087	0.113438253046361	CREB1	-1.27059297350052	-0.981010070230438	0.672542266954426	NS
0.37118460290732	0.125546596396138	HOMEZ	-2.93768898134892	-2.5665043784416	0.672542266954426	NS
0.38928244481671	0.155731243227158	NFKB1	-0.725955019038063	-0.336672574221352	0.672542266954426	NS
0.312274735577355	0.141213999130117	SMAD4	-1.56110821870678	-1.24883348312942	0.672542266954426	NS
0.204366540089655	0.153050173772554	ESRRB	-1.51129231571595	-1.30692577562629	0.672542266954426	NS
0.238233472009617	0.229481809453454	RANDOM1_1_hBGm	-2.75762170677585	-2.51938823476623	0.800085227553936	NS
0.236048075784366	0.254162688866189	NEUROG2	-3.09522676764365	-2.85917869185929	0.838018209523585	NS
0.126993086799407	0.389889442393518	ELK1	2.01337050370418	2.14036359050359	0.86802305667349	NS
0.146501011936948	0.404488762200964	RANDOM3_3_hBGm	-1.87656174042634	-1.7300607284894	0.86802305667349	NS
0.143067465847657	0.650477529806108	TCF7L2	0.905146524058745	1.0482139899064	0.941411719001189	NS
0.149463977368616	0.47638163756007	RANDOM3_1_hBGm	-1.77551922163128	-1.62605524426267	0.890857641398841	NS
0.162420758255003	0.455229778193692	RANDOM1_2_hBGm	-2.48370683507697	-2.32128607682197	0.890857641398841	NS
0.0825453549033061	0.68447184092408	IRF3	0.930538462780538	1.01308381768384	0.941411719001189	NS
0.0324918755119364	0.786595115327983	NFE2L2	2.30924563655115	2.34173751206309	0.948797978487585	NS
